Head	LHand	RHand
5.627	5.418	3.084
5.004	4.049	2.215
5.415	5.153	4.103
6.843	2.923	3.895
7.639	2.622	2.727
7.835	2.811	3.608
7.072	2.650	3.204
7.999	4.087	3.334
9.571	5.240	3.367
10.502	6.195	2.867
11.922	6.566	3.008
14.868	6.911	4.606
18.156	9.161	7.899
20.126	10.179	11.177
21.572	10.443	13.038
24.457	11.761	13.936
25.264	12.924	14.176
24.633	12.535	13.528
24.608	11.745	11.707
26.993	12.154	11.416
29.721	13.215	10.298
30.939	14.163	7.908
37.995	13.202	7.067
45.944	12.559	8.037
46.209	10.792	9.369
45.742	9.210	6.984
46.629	8.516	6.188
48.330	7.939	5.678
53.019	7.577	4.911
58.786	5.913	3.482
62.630	3.215	4.374
62.184	0.887	5.187
62.432	3.035	6.083
66.510	4.639	6.268
70.045	6.286	7.436
68.669	7.368	9.811
66.928	5.995	10.716
73.616	7.472	9.114
75.257	7.989	10.114
67.641	5.495	11.712
64.001	5.771	10.222
64.094	5.521	10.658
66.979	6.035	7.691
65.631	8.055	5.595
60.699	8.401	4.288
64.753	8.768	2.531
67.952	9.378	1.430
78.116	8.441	3.655
77.131	9.892	3.804
66.477	10.901	2.412
70.085	11.492	1.679
69.506	12.291	2.005
62.312	11.652	3.113
59.301	12.772	4.571
63.813	13.653	3.467
63.439	14.012	2.619
57.171	13.476	1.538
53.650	13.243	2.205
49.756	13.768	3.092
45.299	10.605	0.682
60.393	8.979	0.896
57.571	9.222	0.830
37.578	5.895	4.134
35.270	3.587	4.815
30.055	2.735	3.342
27.672	1.756	3.020
29.222	2.859	2.637
28.747	2.763	3.094
25.988	3.458	2.909
25.547	3.977	3.874
25.583	4.488	7.010
22.812	3.728	9.197
22.926	5.465	9.026
23.963	6.540	11.333
23.062	6.249	11.581
23.144	5.483	6.403
23.373	5.222	3.944
24.944	5.204	2.843
26.239	3.687	2.417
29.231	3.799	4.724
32.242	3.353	5.085
31.838	1.451	4.909
33.083	0.585	5.557
33.718	1.079	5.437
32.642	2.448	2.768
31.710	3.550	1.618
31.386	2.739	1.945
31.055	3.685	3.512
29.710	4.134	4.420
29.881	3.016	4.695
30.635	2.138	3.467
28.025	2.036	2.161
24.367	1.047	1.910
23.360	1.704	3.028
23.253	2.957	3.880
23.028	3.369	4.237
24.296	3.724	2.617
25.437	4.009	1.152
26.517	3.664	2.314
28.945	3.213	2.541
32.443	5.390	1.453
34.555	5.409	2.484
35.021	5.654	3.467
35.885	7.281	2.561
37.906	5.841	4.192
37.795	5.675	4.399
37.625	3.344	5.829
38.959	2.673	6.108
40.871	5.062	5.580
42.072	5.662	5.763
42.636	2.804	5.362
41.109	2.177	3.910
38.872	3.231	0.861
40.261	2.907	2.631
38.803	4.488	2.548
36.671	6.312	1.844
37.076	6.573	1.797
37.013	6.651	2.189
35.503	6.393	1.900
34.166	3.308	1.771
33.820	2.189	1.298
