
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
7.968	5.148	43.928	4.067	3.858	3.998	5.636
7.968	5.148	43.928	4.067	3.858	3.998	5.636
7.968	5.148	44.166	4.067	3.858	4.235	5.847
7.968	5.566	44.166	4.067	4.163	4.235	5.847
7.968	5.566	44.166	4.067	4.163	4.235	5.847
7.968	5.794	44.389	4.067	4.567	4.467	6.163
8.243	5.794	44.389	4.281	4.872	4.467	6.163
8.243	6.066	44.642	4.281	5.230	4.467	6.541
8.544	6.066	44.642	4.667	5.661	4.798	6.876
8.767	6.349	45.068	5.070	6.185	4.798	7.256
8.997	6.579	45.392	5.488	6.957	5.211	7.652
9.240	6.814	45.822	6.041	7.842	5.211	8.060
9.544	7.068	46.294	6.627	8.736	5.618	8.494
9.817	7.335	46.865	7.295	9.953	5.618	8.987
10.136	7.615	47.522	8.098	11.162	5.939	9.477
10.452	7.939	48.343	9.026	12.531	5.939	10.025
10.806	8.253	49.324	9.811	14.087	6.223	10.581
11.191	8.612	50.441	10.603	15.608	6.223	11.099
11.557	9.051	51.701	11.548	17.267	6.535	11.705
11.894	9.555	53.145	12.801	18.844	6.535	12.390
12.253	10.155	54.658	14.269	20.493	6.930	13.309
12.620	11.153	56.375	15.637	22.366	7.369	14.128
12.932	12.014	58.152	17.359	24.421	7.603	14.870
13.259	12.926	60.088	19.522	26.790	8.259	15.731
13.551	13.787	62.131	22.058	29.658	8.785	16.459
13.802	14.423	64.277	25.216	33.041	9.373	17.149
14.173	14.982	66.399	29.113	36.969	10.008	17.750
14.733	15.418	68.578	34.485	41.425	10.599	18.268
15.295	15.776	70.768	39.902	46.396	11.266	18.859
15.841	16.166	72.906	46.158	52.009	11.902	19.445
16.492	16.604	75.024	53.203	58.044	12.520	19.996
17.272	17.039	77.171	61.192	64.478	13.147	20.686
18.189	17.485	79.182	69.831	71.312	13.791	21.241
19.048	18.579	81.163	79.221	78.561	14.461	21.742
20.093	19.044	82.916	88.923	86.173	15.178	22.281
