Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
27.596	24.698	12.682	0.891	2.121	2.212	1.305	2.002	2.211
27.840	25.020	12.887	0.891	2.121	2.212	1.305	2.002	2.211
27.840	25.020	12.887	0.891	2.121	2.212	1.305	2.002	2.211
27.840	25.280	12.887	0.891	2.121	2.212	1.305	2.002	2.211
28.116	25.280	12.887	0.891	2.121	2.212	1.305	2.002	2.211
28.116	25.488	12.887	0.891	2.121	2.212	1.305	2.002	2.211
28.116	25.488	12.887	0.891	2.121	2.212	1.305	2.002	2.211
28.338	25.488	12.887	0.891	2.121	2.212	1.305	2.002	2.211
28.338	25.757	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.338	25.757	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.338	25.757	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.757	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.548	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	25.965	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.305	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
28.781	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.178	13.103	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.178	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.178	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.024	26.409	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.409	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.409	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.409	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.409	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.665	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.665	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.665	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.245	26.665	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.665	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
29.458	26.919	13.314	0.891	2.121	2.212	1.506	2.002	2.211
