P1_pos_hand_l	P1_pos_hand_r
1013.450	1012.186
1013.482	1012.229
1013.537	1012.251
1013.593	1012.289
1013.667	1012.306
1013.710	1012.320
1013.732	1012.311
1013.787	1012.332
1013.811	1012.292
1013.841	1012.308
1013.870	1012.270
1013.879	1012.284
1013.886	1012.309
1013.892	1012.315
1013.898	1012.268
1013.945	1012.273
1013.956	1012.275
1014.003	1012.255
1014.044	1012.283
1014.080	1012.284
1014.134	1012.288
1014.199	1012.303
1014.246	1012.288
1014.291	1012.266
1014.323	1012.264
1014.383	1012.237
1014.424	1012.204
1014.467	1012.160
1014.499	1012.130
1014.530	1012.086
1014.566	1012.038
1014.591	1012.009
1014.633	1011.982
1014.664	1011.965
1014.692	1011.939
1014.711	1011.921
1014.742	1011.920
1014.775	1011.892
1014.782	1011.883
1014.808	1011.883
1014.825	1011.875
1014.820	1011.855
1014.827	1011.855
1014.843	1011.830
1014.861	1011.812
1014.892	1011.789
1014.918	1011.774
1014.974	1011.775
1015.012	1011.750
1015.045	1011.732
1015.108	1011.688
1015.138	1011.651
1015.214	1011.582
1015.272	1011.521
1015.346	1011.440
1015.404	1011.384
1015.468	1011.351
1015.519	1011.284
1015.590	1011.250
1015.659	1011.191
1015.726	1011.167
1015.798	1011.140
1015.831	1011.113
1015.883	1011.118
1015.927	1011.115
1015.975	1011.102
1016.025	1011.118
1016.054	1011.142
1016.067	1011.166
1016.065	1011.206
1016.045	1011.248
1016.018	1011.293
1015.992	1011.339
1015.952	1011.393
1015.923	1011.443
1015.877	1011.476
1015.855	1011.560
1015.841	1011.622
1015.839	1011.684
1015.847	1011.751
1015.855	1011.788
1015.863	1011.814
1015.879	1011.832
1015.882	1011.840
1015.897	1011.832
1015.916	1011.817
1015.931	1011.846
1015.951	1011.830
1016.001	1011.840
1016.029	1011.846
1016.061	1011.860
1016.090	1011.891
1016.143	1011.885
1016.147	1011.926
1016.157	1011.907
1016.173	1011.907
1016.176	1011.908
1016.188	1011.895
1016.204	1011.901
1016.226	1011.892
1016.224	1011.897
1016.244	1011.905
1016.241	1011.904
1016.246	1011.891
1016.255	1011.868
1016.251	1011.843
1016.247	1011.817
1016.242	1011.793
1016.249	1011.770
1016.259	1011.745
1016.280	1011.700
1016.297	1011.641
1016.290	1011.614
1016.279	1011.591
1016.268	1011.553
1016.258	1011.555
1016.248	1011.541
1016.240	1011.543
1016.216	1011.534
1016.228	1011.536
1016.211	1011.507
1016.208	1011.538
1016.174	1011.496
1016.138	1011.506
1016.131	1011.506
1016.131	1011.484
1016.121	1011.477
1016.112	1011.458
1016.115	1011.451
1016.107	1011.460
1016.110	1011.481
1016.095	1011.506
1016.074	1011.514
1016.043	1011.509
1016.017	1011.529
1016.006	1011.495
1015.994	1011.509
1015.971	1011.483
1015.913	1011.488
1015.894	1011.509
1015.834	1011.537
1015.809	1011.540
1015.771	1011.549
1015.742	1011.551
1015.741	1011.579
1015.724	1011.609
1015.659	1011.649
1015.621	1011.672
1015.647	1011.664
1015.612	1011.654
1015.611	1011.664
1015.577	1011.680
1015.555	1011.691
1015.531	1011.713
1015.518	1011.718
1015.531	1011.717
1015.526	1011.711
1015.515	1011.728
1015.494	1011.724
1015.479	1011.753
1015.451	1011.756
1015.466	1011.768
1015.448	1011.752
1015.451	1011.743
1015.446	1011.731
1015.419	1011.715
1015.406	1011.717
1015.392	1011.728
1015.380	1011.711
1015.358	1011.728
1015.354	1011.709
1015.335	1011.728
1015.322	1011.711
1015.298	1011.733
1015.306	1011.708
1015.294	1011.709
1015.284	1011.729
1015.289	1011.726
1015.254	1011.742
1015.244	1011.766
1015.242	1011.767
1015.213	1011.777
1015.213	1011.782
1015.189	1011.777
1015.159	1011.785
1015.150	1011.780
1015.138	1011.780
1015.132	1011.748
1015.119	1011.748
1015.119	1011.740
1015.107	1011.752
1015.101	1011.745
1015.094	1011.763
1015.074	1011.790
1015.071	1011.795
1015.056	1011.803
1015.018	1011.790
1014.991	1011.801
1014.937	1011.797
1014.897	1011.815
1014.855	1011.832
1014.813	1011.845
1014.772	1011.861
1014.730	1011.882
1014.692	1011.901
1014.647	1011.913
1014.625	1011.939
1014.596	1011.933
1014.564	1011.940
1014.544	1011.934
1014.522	1011.916
1014.505	1011.928
1014.504	1011.909
1014.513	1011.894
1014.504	1011.877
1014.503	1011.859
1014.517	1011.830
1014.525	1011.805
1014.543	1011.762
1014.543	1011.723
1014.550	1011.682
1014.559	1011.649
1014.547	1011.607
1014.550	1011.588
1014.556	1011.561
1014.559	1011.484
1014.559	1011.481
1014.563	1011.426
1014.566	1011.363
1014.553	1011.306
1014.553	1011.264
1014.577	1011.221
1014.608	1011.147
1014.618	1011.066
1014.628	1010.966
1014.627	1010.915
1014.643	1010.786
1014.657	1010.678
1014.644	1010.534
1014.608	1010.420
1014.596	1010.281
1014.582	1010.179
1014.590	1010.006
1014.572	1009.792
1014.553	1009.605
1014.533	1009.407
1014.496	1009.148
1014.382	1008.928
1014.240	1008.676
1014.154	1008.370
1014.009	1008.054
1013.794	1007.706
1013.614	1007.229
1013.379	1006.677
1013.033	1006.015
1012.599	1005.301
1012.192	1004.554
1011.695	1003.766
1011.100	1002.946
1010.546	1002.057
1009.954	1001.242
1009.492	1000.392
1008.882	999.647
1008.390	998.885
1007.696	998.205
1007.098	997.451
1006.369	996.545
1005.521	995.563
1004.706	994.487
1003.780	993.234
1002.741	991.974
1001.604	990.451
1000.503	988.913
999.094	987.195
997.686	985.397
996.177	983.494
994.657	981.614
993.103	979.607
991.335	977.516
989.419	975.397
987.407	973.030
985.142	970.463
982.826	967.741
980.452	964.502
977.922	961.271
975.368	957.643
972.746	953.843
969.902	949.741
966.933	945.801
963.947	941.267
960.801	936.519
958.389	931.349
955.308	926.380
952.222	921.108
948.914	915.783
945.509	910.642
941.916	904.977
938.408	899.239
934.680	893.707
930.868	887.951
926.936	882.185
923.203	876.332
919.032	870.473
914.914	864.747
910.387	858.975
905.974	853.471
901.402	848.106
896.910	842.955
892.310	837.906
888.074	833.117
883.276	828.562
878.955	824.211
874.799	820.080
870.838	816.411
866.939	813.215
863.276	810.374
859.605	807.993
856.151	806.032
852.884	804.537
849.856	803.732
846.989	803.638
844.272	803.978
841.767	804.401
839.540	804.957
837.669	805.546
836.035	805.900
834.677	806.119
833.539	806.179
832.387	806.146
831.414	806.149
830.326	806.094
829.545	805.963
829.155	805.775
828.991	805.671
829.095	805.639
829.304	805.639
829.496	805.651
829.704	805.679
829.878	805.720
829.960	805.775
830.003	805.823
830.005	805.872
829.988	805.919
830.006	805.939
830.006	805.969
830.034	806.020
830.074	806.061
830.124	806.089
830.242	806.138
830.360	806.181
830.545	806.215
830.697	806.268
830.805	806.337
830.911	806.392
831.002	806.496
831.045	806.515
831.040	806.553
831.082	806.583
831.168	806.579
831.288	806.623
831.411	806.669
831.538	806.729
831.646	806.794
831.686	806.847
831.735	806.900
831.879	806.974
832.149	807.036
832.434	807.084
832.743	807.140
833.065	807.151
833.309	807.186
833.478	807.214
833.573	807.262
833.612	807.311
833.666	807.344
833.667	807.432
833.694	807.491
833.692	807.571
833.725	807.625
833.769	807.679
833.826	807.713
833.842	807.734
833.875	807.786
833.874	807.838
833.899	807.878
833.902	807.948
833.913	808.030
833.907	808.117
833.904	808.173
833.888	808.270
833.869	808.345
833.847	808.399
833.844	808.507
833.856	808.571
833.877	808.614
833.900	808.650
833.889	808.693
833.879	808.731
833.859	808.782
833.851	808.831
833.806	808.882
833.792	808.952
833.751	808.996
833.719	809.041
833.683	809.096
833.629	809.124
833.585	809.164
833.549	809.195
833.534	809.233
833.539	809.258
833.553	809.300
833.556	809.298
833.556	809.310
833.579	809.316
833.596	809.303
833.609	809.277
833.610	809.291
833.611	809.286
833.598	809.298
833.587	809.304
833.593	809.326
833.566	809.324
833.546	809.310
833.525	809.305
833.517	809.315
833.477	809.292
833.455	809.297
833.410	809.292
833.368	809.286
833.305	809.245
833.198	809.226
833.147	809.202
833.110	809.187
