P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z
-38.751	33.392	1211.312
-36.877	34.364	1209.133
-35.033	35.222	1206.964
-33.237	36.012	1204.925
-31.469	36.753	1202.905
-29.858	37.255	1200.863
-28.198	37.844	1198.979
-26.591	38.298	1197.124
-24.911	38.787	1195.296
-23.416	39.227	1193.543
-21.923	39.698	1191.906
-20.523	40.089	1190.397
-19.158	40.651	1188.786
-17.910	41.104	1187.338
-16.710	41.718	1185.947
-15.516	42.329	1184.550
-14.463	43.017	1183.307
-13.493	43.820	1182.147
-12.561	44.401	1180.945
-11.573	45.130	1179.865
-10.754	45.761	1178.804
-9.890	46.505	1177.808
-9.059	47.113	1176.696
-8.214	47.770	1175.620
-7.325	48.330	1174.573
-6.436	48.807	1173.435
-5.579	49.260	1172.346
-4.691	49.790	1171.157
-3.884	50.197	1169.897
-3.000	50.666	1168.659
-2.069	51.181	1167.412
-1.325	51.634	1165.972
-1.105	52.226	1164.160
-0.294	52.821	1162.839
0.509	53.268	1161.439
1.330	53.661	1160.244
2.004	54.128	1158.964
2.546	54.499	1157.922
3.117	54.828	1156.972
3.628	55.029	1156.212
4.026	55.203	1155.548
4.263	55.321	1155.061
4.506	55.324	1154.764
4.632	55.257	1154.651
4.710	55.108	1154.682
4.721	54.922	1154.821
4.713	54.616	1155.070
4.669	54.310	1155.330
4.583	54.020	1155.592
4.419	53.723	1155.906
4.192	53.441	1156.308
3.922	53.075	1156.883
3.656	52.726	1157.447
3.306	52.412	1158.121
2.847	52.030	1158.897
2.320	51.724	1159.700
1.854	51.325	1160.529
1.378	51.009	1161.512
0.764	50.667	1162.466
0.152	50.258	1163.431
0.191	49.722	1164.916
-1.158	49.519	1165.453
-1.147	48.972	1167.087
-1.896	48.548	1168.324
-2.798	48.262	1169.580
-3.702	47.947	1170.984
-4.689	47.570	1172.381
-5.717	47.197	1173.855
-6.799	46.846	1175.527
-8.000	46.396	1177.169
-9.120	45.990	1178.949
-10.497	45.529	1180.887
-11.859	45.110	1183.017
-13.388	44.579	1185.288
-14.957	44.049	1187.597
-16.742	43.550	1190.175
-18.590	42.977	1192.807
-20.597	42.483	1195.555
-22.685	41.850	1198.440
-24.978	41.367	1201.345
-27.322	40.901	1204.278
-29.753	40.332	1207.284
-32.246	39.968	1210.435
-34.937	39.363	1213.531
-37.702	38.679	1216.579
-40.526	38.010	1219.579
-43.404	37.285	1222.580
-46.315	36.450	1225.532
-49.283	35.678	1228.383
-52.315	34.941	1231.188
-55.319	34.126	1233.883
-58.343	33.281	1236.430
-61.326	32.513	1238.947
-64.239	31.709	1241.269
-67.165	30.888	1243.466
-70.072	30.099	1245.594
-72.877	29.315	1247.588
-75.554	28.497	1249.463
-78.252	27.715	1251.265
-80.876	26.953	1252.916
-83.447	26.240	1254.517
-85.958	25.462	1256.043
-88.410	24.684	1257.419
-90.712	23.967	1258.727
-92.987	23.123	1259.886
-95.154	22.359	1261.111
-97.195	21.584	1262.074
-99.142	20.803	1263.018
-101.071	20.180	1263.833
-102.843	19.411	1264.616
-104.587	18.721	1265.303
-106.302	18.040	1265.856
-107.861	17.302	1266.515
-109.352	16.652	1267.144
-110.942	16.038	1267.660
-112.260	15.367	1268.128
-113.601	14.747	1268.551
-114.867	14.056	1268.966
-116.100	13.551	1269.117
-117.204	12.952	1269.389
-118.265	12.452	1269.664
-119.258	11.952	1269.975
-120.176	11.458	1270.303
-121.093	11.067	1270.501
-121.936	10.684	1270.859
-122.751	10.301	1271.071
-123.532	9.961	1271.291
-124.302	9.697	1271.502
-124.819	9.272	1271.892
-125.574	9.048	1272.117
-126.245	8.840	1272.318
-126.810	8.631	1272.488
-127.451	8.452	1272.680
-128.126	8.277	1272.924
-128.724	8.096	1273.162
-129.256	7.931	1273.423
-129.823	7.772	1273.614
-130.391	7.633	1273.807
-130.888	7.499	1274.012
-131.321	7.414	1274.199
-131.737	7.291	1274.336
-132.109	7.148	1274.459
-132.474	6.976	1274.542
-132.775	6.795	1274.625
-133.016	6.613	1274.692
-133.205	6.431	1274.761
-133.354	6.273	1274.817
-133.459	6.083	1274.879
-133.513	5.914	1274.943
-133.540	5.722	1275.005
-133.546	5.554	1275.091
-133.494	5.366	1275.151
-133.432	5.170	1275.213
-133.345	4.968	1275.256
-133.208	4.784	1275.290
-133.042	4.592	1275.255
-132.845	4.409	1275.190
-132.632	4.230	1275.092
-132.363	4.032	1274.999
-132.099	3.855	1274.898
-131.802	3.701	1274.791
-131.492	3.516	1274.675
-131.187	3.348	1274.570
-130.927	3.225	1274.445
-130.633	3.107	1274.349
-130.294	2.977	1274.227
-129.987	2.858	1274.076
-129.671	2.756	1273.972
-129.396	2.673	1273.875
-129.170	2.581	1273.757
-128.937	2.505	1273.643
-128.724	2.397	1273.615
-128.538	2.279	1273.613
-128.322	2.153	1273.664
-128.154	2.024	1273.703
-127.992	1.899	1273.731
