P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z
67.433	-152.276	1.606
67.090	-151.121	1.615
66.599	-149.864	1.751
66.176	-148.695	1.801
65.863	-147.438	1.975
65.394	-146.100	2.252
64.962	-144.782	2.362
64.353	-143.601	2.509
63.891	-142.514	2.522
63.349	-141.494	2.563
62.848	-140.716	2.676
62.385	-140.164	2.791
62.126	-139.712	2.921
62.049	-139.391	3.064
62.198	-139.278	3.237
62.441	-139.365	3.290
62.806	-139.608	3.297
63.335	-140.044	3.218
64.039	-140.662	3.071
64.658	-141.263	3.067
65.327	-141.888	3.062
66.083	-142.408	3.128
66.604	-142.971	3.191
67.164	-143.174	3.357
67.399	-143.139	3.566
67.491	-143.136	3.638
67.318	-142.926	3.863
66.978	-142.580	4.071
66.672	-142.138	4.086
66.456	-141.857	4.045
66.273	-141.606	4.036
66.105	-141.619	3.923
65.827	-141.845	3.899
65.794	-142.350	3.946
65.608	-143.217	4.092
65.554	-144.362	4.455
65.546	-145.849	4.778
65.557	-147.662	5.212
65.728	-149.293	5.308
66.040	-150.721	5.461
66.962	-151.962	4.894
67.758	-153.161	4.056
68.424	-154.408	3.222
68.771	-155.668	2.412
69.015	-156.900	1.721
69.044	-157.810	0.968
68.921	-158.547	0.243
68.558	-158.909	-0.544
67.737	-158.951	-1.023
66.390	-158.572	-1.674
64.560	-158.094	-2.113
62.206	-157.324	-2.453
59.720	-156.214	-3.074
57.217	-154.665	-3.957
54.705	-152.734	-4.835
51.826	-150.676	-5.694
48.776	-148.366	-6.722
46.030	-145.417	-7.793
43.624	-142.451	-8.894
41.715	-139.726	-9.780
40.321	-137.522	-10.735
39.497	-135.921	-11.436
38.802	-135.059	-11.603
38.821	-134.835	-11.916
39.085	-134.883	-12.128
39.520	-135.318	-12.342
39.897	-135.429	-12.216
40.315	-135.455	-11.901
40.865	-135.163	-11.756
41.084	-134.972	-11.543
41.225	-134.645	-11.269
41.457	-134.319	-10.716
41.425	-134.067	-9.752
41.284	-133.850	-8.567
41.060	-133.421	-7.164
40.648	-132.669	-5.337
40.300	-131.915	-3.529
40.113	-130.840	-1.811
39.733	-129.828	0.006
39.112	-128.819	2.035
38.629	-127.947	3.671
38.054	-127.051	5.101
37.723	-126.400	6.247
37.405	-125.965	6.982
36.952	-125.553	7.565
36.713	-125.238	7.937
36.404	-125.113	8.310
35.937	-125.151	8.514
35.450	-125.322	8.736
35.159	-125.400	9.020
34.823	-125.536	9.068
34.629	-125.558	8.990
34.469	-125.626	8.732
34.014	-125.851	8.396
33.682	-126.151	8.159
33.357	-126.362	8.057
32.796	-126.756	8.057
32.471	-127.109	8.049
32.068	-127.529	8.179
31.697	-127.969	8.355
31.419	-128.564	8.417
30.977	-128.829	8.568
30.348	-128.890	8.649
30.351	-129.108	8.894
30.590	-129.319	8.946
30.474	-129.381	8.936
30.433	-129.351	8.884
30.638	-129.335	8.801
30.633	-129.623	8.472
30.920	-129.872	8.293
31.129	-130.499	7.779
31.469	-131.134	7.369
31.514	-131.955	7.172
31.777	-132.802	6.845
32.125	-133.723	6.632
32.371	-134.628	6.445
32.882	-135.703	6.222
33.413	-137.094	6.091
34.420	-138.390	6.064
35.430	-140.192	5.442
35.793	-141.435	5.827
36.696	-142.750	6.033
37.811	-144.100	6.110
39.112	-145.746	6.059
40.186	-147.363	6.187
41.095	-149.052	6.400
41.793	-150.958	6.669
42.212	-153.130	7.076
42.398	-155.201	7.483
42.505	-157.258	7.879
42.373	-159.248	8.330
42.377	-161.009	8.809
41.885	-162.322	8.908
41.407	-163.525	9.299
40.908	-164.004	9.444
40.376	-163.880	9.612
39.843	-163.315	9.655
39.225	-162.145	9.624
39.130	-160.592	9.428
38.986	-158.361	9.127
38.763	-155.849	8.737
38.182	-152.829	8.359
37.095	-149.764	8.004
35.688	-146.601	7.660
34.006	-143.386	7.404
31.419	-140.027	7.411
29.127	-136.581	7.440
26.751	-132.767	7.743
24.484	-129.289	7.631
22.508	-125.640	7.409
20.714	-122.233	6.877
19.318	-119.015	6.322
18.119	-115.893	5.760
17.282	-113.140	5.223
16.520	-110.732	4.773
16.059	-108.568	4.282
