P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
84.869	208.135	769.409	164.296	-5.130	776.157
84.752	208.755	769.905	163.997	-5.148	777.328
84.611	209.448	770.506	163.759	-5.031	778.672
84.434	209.959	771.075	163.489	-5.040	780.204
84.214	210.449	771.657	163.314	-5.033	781.714
83.907	211.078	772.292	163.335	-5.136	783.370
83.421	211.999	772.989	163.449	-5.282	784.936
82.951	212.890	774.056	163.472	-5.393	786.581
82.727	213.865	774.989	163.475	-5.480	788.452
82.475	214.720	776.462	163.422	-5.558	790.505
82.155	215.625	778.402	163.081	-5.560	792.850
81.802	216.433	780.779	162.401	-5.530	795.635
81.344	216.938	783.862	161.523	-5.529	798.902
80.724	217.067	787.708	160.424	-5.564	802.674
80.521	216.928	793.074	159.110	-5.451	806.930
79.375	216.364	798.338	157.639	-5.365	811.677
77.732	215.385	804.295	155.854	-5.132	816.994
76.102	214.075	811.022	153.969	-4.879	822.721
73.667	212.569	818.481	151.999	-4.759	828.845
71.359	210.786	826.612	149.757	-4.588	835.299
69.067	208.023	835.289	147.309	-4.535	842.122
66.211	205.956	844.328	144.530	-4.765	849.205
63.069	203.650	853.568	141.458	-5.078	856.369
59.701	201.540	862.969	138.451	-5.656	864.010
56.135	199.029	872.340	134.841	-6.479	871.636
52.039	196.965	881.574	130.739	-7.241	879.218
47.676	194.748	890.564	126.538	-8.319	886.995
42.766	192.226	899.133	122.207	-9.422	894.579
37.620	189.852	907.385	117.459	-11.059	902.442
32.234	187.379	915.384	112.588	-12.593	910.047
26.667	184.957	923.086	107.432	-14.464	917.528
21.052	182.380	930.339	102.418	-16.102	924.476
15.550	179.818	936.947	97.100	-18.117	931.442
10.058	177.123	943.009	91.869	-20.172	937.999
4.786	174.147	948.280	86.687	-22.172	944.189
-0.167	171.117	952.990	81.457	-23.984	949.890
-3.981	167.659	956.674	76.314	-25.781	955.136
-8.457	164.380	960.425	71.552	-27.421	959.675
-12.425	160.993	963.697	66.872	-28.814	963.880
-16.129	157.481	966.683	62.478	-29.922	967.751
-19.510	153.908	969.068	58.136	-30.836	971.113
-22.312	150.087	971.202	53.953	-31.372	974.122
-24.900	146.103	973.095	49.804	-31.695	976.797
-27.069	142.121	974.660	45.606	-31.811	979.255
-29.201	137.931	976.302	41.557	-31.499	981.380
-30.767	133.828	977.606	37.504	-30.987	983.198
-32.090	129.675	978.522	33.788	-29.897	984.662
-33.295	125.605	979.472	29.971	-28.810	985.893
-34.093	121.495	980.132	26.315	-27.630	986.898
-34.876	117.576	980.701	22.868	-26.153	987.676
-35.469	113.794	981.114	19.563	-24.560	988.221
-36.055	109.945	981.230	16.267	-22.793	988.684
-36.617	106.224	981.295	13.109	-20.933	988.869
-37.026	102.851	981.084	9.979	-18.976	988.982
-37.814	99.045	980.920	6.751	-17.058	988.827
-38.795	95.274	980.736	3.528	-15.135	988.451
-39.794	91.446	980.596	0.189	-13.311	987.946
-40.946	87.969	980.492	-2.916	-11.554	987.228
-42.573	84.746	980.379	-6.056	-10.156	986.599
-44.564	82.195	980.249	-9.374	-9.563	986.233
-47.030	79.899	980.230	-12.461	-9.526	985.897
-49.895	78.460	980.306	-15.424	-10.454	985.687
-52.750	77.250	980.714	-18.174	-11.373	985.904
-55.537	76.194	981.253	-20.660	-12.346	986.416
-58.056	75.796	981.597	-23.069	-13.415	986.843
-60.752	75.063	982.050	-25.422	-14.634	987.255
-63.295	74.378	982.252	-27.687	-15.714	987.490
-65.806	73.780	982.478	-30.003	-16.823	987.712
-68.297	73.122	982.527	-32.235	-17.828	987.826
-70.562	72.486	982.534	-34.496	-18.797	987.741
-72.801	71.879	982.489	-36.747	-19.895	987.616
-75.118	71.392	982.342	-38.991	-20.886	987.501
-77.184	70.959	982.275	-41.095	-21.803	987.526
-79.205	70.558	982.132	-43.224	-22.854	987.598
-81.095	70.340	982.125	-45.214	-23.848	987.827
-82.826	70.188	982.207	-46.651	-24.674	987.947
-84.750	70.218	982.468	-48.088	-25.587	988.148
-86.489	70.257	982.666	-49.474	-26.565	988.300
-88.073	70.300	982.908	-50.685	-27.586	988.569
-89.817	70.452	983.207	-51.648	-28.467	988.678
-91.586	70.662	983.517	-52.607	-29.338	988.819
-93.208	70.806	983.830	-53.500	-30.257	989.004
-94.821	70.986	983.964	-54.405	-31.387	989.307
-96.456	71.181	984.106	-55.174	-32.368	989.638
