P6_elbow_lP6_whole_dist_traveled	P6_shoulder_lP6_whole_dist_traveled	P6_shoulder_rP6_whole_dist_traveled	P6_elbow_rP6_whole_dist_traveled	P6_headP6_whole_dist_traveled	P6_hand_rP6_whole_dist_traveled	P6_hand_lP6_whole_dist_traveled
18.520	13.183	15.069	37.046	19.057	45.885	22.024
18.520	13.183	15.069	37.277	19.057	46.544	22.337
18.520	13.183	15.069	37.576	19.057	47.113	22.692
18.520	13.183	15.069	38.641	19.336	47.659	23.057
18.733	13.183	15.285	38.981	19.336	48.171	23.404
18.733	13.183	15.285	39.288	19.336	48.668	23.887
18.733	13.387	15.539	39.930	19.336	49.070	24.327
18.733	13.387	15.539	40.214	19.579	49.411	24.712
18.733	13.387	15.857	41.184	19.579	49.809	25.051
19.012	13.387	15.857	41.411	19.579	50.156	25.304
19.012	13.646	16.146	41.411	19.579	50.479	25.304
19.012	13.646	16.146	41.779	19.579	50.766	25.304
19.277	13.646	16.426	41.779	19.579	51.219	25.514
19.277	13.646	16.426	42.066	19.579	51.595	25.514
19.483	13.646	16.683	42.066	19.808	51.991	25.514
19.483	13.875	16.683	42.411	19.808	52.432	25.514
19.483	13.875	16.932	42.411	19.808	52.863	25.514
19.483	13.875	16.932	42.712	19.808	53.372	25.742
19.691	13.875	16.932	43.507	20.060	53.796	25.742
19.691	13.875	16.932	44.398	20.060	54.330	25.954
19.691	13.875	16.932	44.398	20.060	54.884	25.954
19.691	14.115	16.932	44.651	20.298	55.592	25.954
19.691	14.115	17.155	44.651	20.298	56.145	26.222
19.691	14.115	17.155	44.857	20.298	56.625	26.222
19.691	14.115	17.155	44.857	20.507	57.037	26.222
19.691	14.115	17.155	45.088	20.507	57.363	26.222
19.691	14.318	17.407	45.088	20.507	57.363	26.222
19.933	14.318	17.407	45.088	20.734	57.363	26.222
19.933	14.318	17.407	45.905	20.734	57.363	26.222
19.933	14.318	17.407	45.905	20.734	57.363	26.222
20.154	14.318	17.624	45.905	20.948	57.705	26.431
20.154	14.546	17.624	46.512	20.948	57.966	26.431
20.154	14.546	17.624	47.472	20.948	58.192	26.431
20.154	14.546	17.624	47.472	21.151	58.192	26.431
20.154	14.546	17.624	47.768	21.151	58.573	26.431
20.358	14.546	17.919	47.768	21.151	58.573	26.431
20.358	14.783	17.919	48.395	21.151	58.997	26.431
20.358	14.783	17.919	48.395	21.418	59.199	26.431
20.358	14.783	17.919	48.596	21.418	59.199	26.431
20.358	14.783	18.184	48.596	21.683	59.199	26.431
20.600	15.031	18.184	48.596	21.900	59.199	26.431
20.600	15.031	18.184	48.809	22.172	59.465	26.637
20.600	15.031	18.410	48.809	22.473	59.745	26.637
20.600	15.031	18.410	49.009	22.783	60.127	26.983
20.804	15.265	18.410	49.009	23.108	60.466	26.983
20.804	15.265	18.410	49.244	23.428	60.666	27.202
20.804	15.265	18.629	49.244	23.680	60.666	27.202
21.023	15.265	18.629	49.244	23.927	60.666	27.202
21.023	15.265	18.629	49.481	24.129	60.971	27.202
21.023	15.486	18.629	50.262	24.334	60.971	27.444
21.023	15.486	18.629	50.262	24.334	61.271	27.444
21.023	15.486	18.629	50.262	24.634	61.271	27.444
21.023	15.486	18.629	50.468	24.634	61.693	27.694
21.023	15.486	18.629	50.468	24.884	61.693	27.694
21.023	15.486	18.868	50.680	24.884	62.093	27.923
21.023	15.486	18.868	50.680	25.128	62.093	27.923
21.023	15.486	18.868	50.902	25.128	62.461	27.923
21.226	15.748	18.868	50.902	25.402	62.461	27.923
21.226	15.748	19.134	51.115	25.402	62.770	28.146
21.226	15.748	19.134	51.115	25.668	62.770	28.146
21.484	16.032	19.134	51.115	25.668	62.770	28.146
21.484	16.032	19.423	51.404	25.895	62.982	28.146
21.484	16.243	19.423	51.404	25.895	62.982	28.349
21.763	16.243	19.423	51.404	25.895	62.982	28.349
21.763	16.243	19.423	51.404	26.122	62.982	28.349
21.984	16.471	19.668	51.621	26.122	63.240	28.600
21.984	16.471	19.668	51.621	26.482	63.240	28.600
21.984	16.471	19.668	51.621	26.843	63.240	28.600
22.186	16.471	19.668	52.433	27.436	63.240	28.891
22.186	16.737	19.882	53.266	28.248	63.240	28.891
22.186	16.737	19.882	53.266	29.288	63.240	29.180
22.186	16.957	20.084	53.266	30.632	63.466	29.180
22.487	16.957	20.084	53.517	32.409	63.466	29.508
22.487	17.394	20.508	53.517	34.415	63.720	29.508
22.717	17.727	20.818	53.897	36.887	63.720	29.873
22.946	18.146	21.163	54.147	39.554	64.072	30.121
23.292	18.452	21.546	54.429	42.598	64.408	30.363
23.757	18.721	21.880	54.771	45.912	64.408	30.652
24.457	18.937	22.224	55.182	49.452	64.686	30.918
25.362	18.937	22.615	55.651	53.188	64.686	31.172
26.276	19.242	23.062	56.045	56.990	64.686	31.380
27.388	19.242	23.573	56.503	60.874	64.686	31.581
28.539	19.493	24.051	56.968	65.351	65.027	31.581
29.874	19.493	24.732	57.808	69.117	65.345	31.826
31.267	19.877	25.173	58.233	72.704	65.720	31.826
32.681	20.214	25.564	58.681	76.122	66.141	32.039
34.238	20.648	25.893	59.149	79.442	66.542	32.039
35.773	21.244	26.190	59.584	82.565	67.104	32.298
37.427	21.926	26.393	59.896	85.494	67.865	32.500
38.892	22.556	26.393	60.167	88.340	68.783	32.750
40.546	23.324	26.596	60.424	90.912	69.814	33.048
42.162	24.185	26.596	60.424	93.520	71.075	33.415
43.626	25.107	27.039	60.804	95.934	72.341	33.859
45.340	25.927	27.308	61.052	98.160	73.838	34.336
46.960	26.810	27.616	61.396	100.346	75.318	34.921
48.574	27.663	27.911	61.823	102.389	77.096	35.581
50.213	28.627	28.155	62.438	104.309	78.878	36.387
