Head	RHand	LHand
28.511	17.535	14.271
33.113	19.439	18.456
29.624	19.766	20.015
32.405	22.535	18.255
34.788	20.326	16.849
38.034	15.619	12.690
39.574	10.363	10.089
42.463	6.918	10.485
49.114	3.412	9.444
51.928	3.105	6.545
49.582	3.459	4.269
44.988	7.926	5.890
44.683	10.578	7.960
46.713	11.458	7.023
47.782	10.019	3.751
47.904	8.509	3.274
46.411	4.501	1.506
45.510	3.075	1.788
40.812	8.534	2.583
35.666	11.099	3.606
33.618	15.698	1.467
33.702	17.723	2.126
31.820	16.952	3.077
27.772	17.091	1.875
23.217	12.621	2.756
19.687	9.589	3.252
16.623	8.756	3.496
14.299	6.047	2.900
11.698	4.807	3.346
7.596	3.365	4.873
5.150	2.828	3.801
2.499	4.069	4.169
0.906	5.264	3.719
3.117	4.735	3.899
3.435	2.869	4.467
4.235	2.336	4.309
4.682	6.557	5.458
5.316	6.468	4.802
6.037	2.641	3.242
5.959	1.802	1.903
6.591	2.546	1.570
7.309	2.790	2.094
8.413	1.626	1.389
8.282	4.643	2.545
8.747	7.600	2.096
9.040	14.599	1.862
8.518	30.847	1.361
9.689	69.968	4.113
8.674	116.696	6.544
7.692	151.741	10.594
7.829	183.265	22.130
8.126	189.730	27.573
10.203	175.010	30.537
9.172	156.729	36.750
8.522	131.229	25.516
7.820	96.772	4.984
8.509	60.440	14.605
8.836	31.519	20.836
6.453	14.074	25.497
5.959	18.050	25.430
5.872	26.329	19.250
6.490	28.746	14.265
6.654	27.058	8.146
5.159	23.433	6.043
5.915	18.676	9.297
6.286	22.549	11.341
5.194	33.110	10.259
5.329	39.363	7.844
5.539	38.777	6.966
6.218	35.729	8.644
5.100	33.826	11.428
7.325	39.976	10.546
7.782	37.327	10.435
6.443	32.490	8.827
7.123	36.898	6.444
7.788	40.146	3.976
9.647	38.246	3.334
12.765	30.400	5.865
16.761	21.251	7.847
19.396	19.062	7.375
20.288	19.260	5.710
21.065	13.283	2.559
23.014	6.946	0.949
25.231	5.946	2.168
28.565	5.718	5.420
30.805	10.860	6.564
30.130	14.885	5.863
27.483	16.575	6.506
26.287	31.518	4.123
27.794	39.519	3.805
26.187	39.784	3.266
25.151	51.973	1.824
24.351	61.770	2.921
22.520	62.079	5.288
21.868	45.061	7.711
18.412	33.484	11.827
13.229	23.851	11.540
9.447	17.170	9.318
8.135	25.333	9.461
4.754	32.924	12.223
3.550	47.896	12.044
4.829	58.268	7.591
6.372	62.166	4.258
9.091	70.615	7.070
11.138	71.993	13.852
17.788	56.290	19.053
19.274	38.757	16.705
15.761	31.971	13.071
16.647	29.623	10.254
18.059	29.498	4.092
19.378	26.776	4.312
22.062	25.706	10.168
24.648	28.848	13.641
24.574	29.905	13.433
22.655	31.014	11.363
20.854	32.452	8.033
20.196	26.814	4.472
18.765	22.965	2.724
17.181	17.973	4.754
13.686	13.651	7.153
11.684	12.830	6.977
9.977	11.635	6.098
7.210	13.221	2.813
5.623	14.621	0.808
5.280	12.857	4.696
6.661	13.634	7.105
7.021	13.907	5.372
6.200	13.294	4.464
6.728	12.889	3.627
7.561	10.703	3.881
9.154	10.155	3.447
8.025	9.538	5.214
8.255	10.056	6.459
9.228	14.082	4.921
8.031	16.162	2.027
8.630	18.183	3.871
7.730	17.274	6.471
7.695	14.371	9.455
8.175	17.303	8.339
7.757	18.645	7.313
10.346	17.688	7.049
9.533	17.239	4.351
7.096	13.517	2.291
9.242	13.449	3.537
11.203	15.034	3.701
12.010	15.110	8.777
10.918	17.004	10.113
12.434	18.634	11.882
13.518	22.495	13.588
10.981	21.390	11.676
10.569	18.818	10.450
9.342	22.090	10.693
7.744	22.433	8.591
6.328	17.015	5.735
5.050	13.950	4.587
4.528	11.816	5.402
2.874	7.882	3.916
3.106	6.703	5.397
3.339	6.584	8.326
3.247	7.279	7.036
2.706	9.879	7.919
2.890	10.246	9.691
3.758	8.682	10.996
2.635	10.300	11.560
2.746	14.254	9.988
1.913	17.436	6.272
3.082	19.743	4.727
3.100	15.363	4.177
2.416	6.121	2.466
2.478	11.359	3.222
