Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z
8.093	7.408	1.994	8.320	12.375	7.482	1.122	5.204	3.129
8.093	7.408	1.994	8.552	12.375	7.703	1.335	5.447	3.129
8.093	7.408	1.994	8.552	12.375	7.703	1.335	5.447	3.129
8.093	7.647	1.994	8.771	12.375	7.703	1.335	5.653	3.129
8.093	7.647	1.994	8.771	12.375	7.703	1.335	5.653	3.129
8.297	7.647	1.994	9.082	12.626	7.703	1.335	5.653	3.337
8.297	7.647	1.994	9.330	12.883	7.703	1.335	5.653	3.337
8.297	7.906	1.994	9.615	13.212	7.703	1.554	5.653	3.337
8.297	7.906	1.994	9.865	13.475	7.703	1.554	5.653	3.337
8.498	7.906	1.994	9.865	13.717	7.947	1.554	5.653	3.337
8.498	7.906	1.994	10.128	13.937	7.947	1.554	5.653	3.337
8.498	8.167	1.994	10.128	13.937	7.947	1.554	5.653	3.337
8.498	8.167	1.994	10.128	14.257	7.947	1.554	5.653	3.337
8.498	8.167	1.994	10.128	14.257	7.947	1.554	5.653	3.580
8.498	8.167	1.994	10.128	14.257	8.173	1.554	5.653	3.580
8.709	8.426	1.994	10.128	14.257	8.173	1.788	5.653	3.580
8.709	8.426	1.994	10.128	14.257	8.173	1.788	5.653	3.580
8.709	8.426	2.220	10.364	14.257	8.173	1.788	5.653	3.580
8.709	8.654	2.220	10.364	14.257	8.173	1.788	5.653	3.580
8.709	8.654	2.220	10.364	14.526	8.459	1.788	5.653	3.580
8.709	8.654	2.220	10.364	14.526	8.459	1.788	5.653	3.580
8.954	8.654	2.220	10.364	14.754	8.459	1.788	5.653	3.580
8.954	8.873	2.220	10.364	14.754	8.459	1.788	5.653	3.580
8.954	8.873	2.220	10.364	14.754	8.459	1.788	5.979	3.580
9.166	8.873	2.458	10.364	15.029	8.459	1.788	5.979	3.580
9.166	8.873	2.458	10.364	15.029	8.459	1.788	6.321	3.817
9.166	8.873	2.458	10.364	15.260	8.459	1.788	6.321	3.817
9.375	8.873	2.458	10.364	15.260	8.459	1.788	6.544	3.817
9.375	8.873	2.458	10.364	15.260	8.459	1.788	6.544	3.817
9.375	8.873	2.458	10.364	15.482	8.459	1.788	6.544	3.817
9.375	9.082	2.458	10.364	15.482	8.459	1.788	6.544	3.817
9.592	9.082	2.458	10.565	15.684	8.459	1.788	6.544	3.817
9.592	9.082	2.458	10.565	15.684	8.459	1.788	6.544	3.817
9.592	9.082	2.458	10.565	15.998	8.677	1.788	6.752	3.817
9.592	9.082	2.458	10.565	15.998	8.677	1.788	6.752	3.817
9.592	9.082	2.458	10.847	15.998	8.677	1.788	6.752	3.817
9.592	9.082	2.679	10.847	15.998	8.677	1.788	6.752	3.817
9.822	9.082	2.679	10.847	16.423	8.677	1.788	7.080	3.817
9.822	9.082	2.679	10.847	16.907	8.677	2.120	7.289	3.817
9.822	9.082	2.679	11.141	17.456	9.035	2.120	7.501	3.817
9.822	9.082	2.679	11.476	17.829	9.035	2.120	7.715	4.020
9.822	9.082	2.679	11.690	18.166	9.035	2.120	7.715	4.020
10.087	9.082	2.679	11.690	18.166	9.245	2.120	7.715	4.020
10.087	9.082	2.679	11.935	18.382	9.245	2.120	7.715	4.020
10.087	9.082	2.679	11.935	18.382	9.245	2.120	7.924	4.224
10.087	9.082	2.679	12.139	18.728	9.245	2.120	7.924	4.224
10.308	9.082	2.679	12.139	18.948	9.448	2.120	8.342	4.224
10.308	9.082	2.679	12.541	18.948	9.448	2.120	8.342	4.224
10.308	9.082	2.679	12.541	19.280	9.448	2.120	8.342	4.224
10.308	9.082	2.679	12.904	19.280	9.448	2.120	8.342	4.224
10.308	9.082	2.679	12.904	19.280	9.448	2.120	8.342	4.224
10.516	9.082	2.679	12.904	19.280	9.448	2.120	8.572	4.224
10.516	9.082	2.679	12.904	19.534	9.448	2.120	8.572	4.224
10.516	9.338	2.679	12.904	19.534	9.448	2.120	8.899	4.224
10.516	9.338	2.679	12.904	19.746	9.448	2.120	8.899	4.224
10.807	9.338	2.679	12.904	19.746	9.743	2.120	8.899	4.224
10.807	9.567	2.679	12.904	20.146	9.743	2.120	8.899	4.224
10.807	9.567	2.679	13.373	20.403	9.743	2.120	9.219	4.224
10.807	9.567	2.679	13.769	20.693	9.743	2.120	9.219	4.432
10.807	9.784	2.679	14.248	21.067	9.967	2.330	9.644	4.432
11.008	9.784	2.679	14.655	21.424	9.967	2.330	9.850	4.432
11.008	9.784	2.679	15.315	21.862	10.295	2.330	10.140	4.685
11.008	9.985	2.679	15.997	22.375	10.295	2.572	10.570	4.685
11.008	9.985	2.679	16.505	22.820	10.295	2.572	11.004	4.945
11.008	9.985	2.679	17.012	23.329	10.516	2.837	11.498	4.945
11.008	9.985	2.679	17.572	23.844	10.516	2.837	12.008	5.218
11.008	9.985	2.679	17.988	24.489	10.516	3.079	12.465	5.218
11.008	10.216	2.679	18.283	25.151	10.516	3.079	12.951	5.218
11.008	10.216	2.679	18.494	25.647	10.770	3.079	13.453	5.553
11.008	10.216	2.679	18.494	26.310	10.770	3.292	13.936	5.553
11.008	10.216	2.888	18.494	26.630	10.770	3.292	14.320	5.848
11.008	10.473	2.888	18.717	26.913	10.770	3.292	14.667	5.848
11.008	10.473	2.888	18.717	27.230	10.770	3.292	14.904	5.848
11.008	10.473	2.888	18.717	27.831	11.458	3.292	14.904	5.848
11.008	10.473	2.888	18.925	28.071	11.458	3.292	15.192	5.848
11.008	10.473	2.888	18.925	28.071	11.458	3.292	15.192	5.848
11.008	10.741	2.888	18.925	28.375	11.661	3.292	15.192	5.848
11.008	10.741	2.888	18.925	28.375	11.661	3.292	15.192	5.848
11.008	10.741	2.888	19.296	29.352	12.468	3.292	15.519	5.848
11.008	10.741	2.888	19.296	29.352	12.468	3.563	15.519	5.848
