P4_shoulder_lP4_whole_dist_traveled	P4_hand_rP4_whole_dist_traveled	P4_hand_lP4_whole_dist_traveled	P4_shoulder_rP4_whole_dist_traveled	P4_headP4_whole_dist_traveled	P4_elbow_rP4_whole_dist_traveled	P4_elbow_lP4_whole_dist_traveled
23.249	18.114	46.794	26.343	65.045	10.658	11.583
23.249	18.114	46.794	26.343	65.045	10.658	11.583
23.249	18.114	46.794	26.343	65.291	10.658	11.583
23.456	18.323	46.794	26.343	65.291	10.658	11.583
23.456	18.323	46.794	26.343	65.291	10.658	11.583
23.456	18.323	46.794	26.343	65.565	10.658	11.583
23.456	18.323	46.794	26.343	65.565	10.658	11.785
23.456	18.526	47.008	26.560	65.565	10.658	11.785
23.456	18.526	47.008	26.560	65.565	10.658	11.785
23.456	18.526	47.008	26.560	65.789	10.658	11.785
23.688	18.526	47.008	26.560	65.789	10.658	11.785
23.688	18.526	47.008	26.560	65.789	10.658	11.785
23.688	18.750	47.008	26.560	65.789	10.658	11.785
23.688	18.750	47.008	26.787	65.789	10.658	11.785
23.688	18.750	47.008	26.787	65.993	10.658	11.785
23.900	18.750	47.259	26.787	65.993	10.658	11.785
23.900	18.750	47.259	26.787	65.993	10.658	11.785
23.900	18.750	47.522	26.787	65.993	10.658	11.991
23.900	18.750	47.522	26.991	65.993	10.658	11.991
23.900	18.750	47.803	26.991	66.250	10.658	11.991
23.900	19.025	47.803	26.991	66.250	10.658	11.991
24.125	19.025	48.020	26.991	66.250	10.860	11.991
24.125	19.025	48.020	26.991	66.250	10.860	11.991
24.125	19.025	48.249	26.991	66.250	10.860	11.991
24.125	19.025	48.249	26.991	66.250	10.860	11.991
24.125	19.025	48.249	26.991	66.250	10.860	11.991
24.125	19.230	48.483	26.991	66.250	10.860	12.194
24.125	19.230	48.483	27.205	66.250	10.860	12.194
24.125	19.230	48.483	27.205	66.250	10.860	12.194
24.125	19.230	48.690	27.205	66.250	10.860	12.194
24.125	19.230	48.690	27.205	66.486	10.860	12.194
24.125	19.230	48.690	27.205	66.486	10.860	12.194
24.125	19.230	48.690	27.205	66.486	10.860	12.194
24.125	19.230	48.690	27.205	66.694	10.860	12.194
24.125	19.230	48.893	27.205	66.694	10.860	12.194
24.358	19.230	48.893	27.205	66.694	10.860	12.194
24.358	19.230	48.893	27.205	66.694	10.860	12.194
24.358	19.230	48.893	27.205	66.928	10.860	12.194
24.358	19.230	49.121	27.205	66.928	10.860	12.194
24.358	19.230	49.121	27.205	66.928	11.077	12.194
24.358	19.487	49.357	27.205	66.928	11.077	12.194
24.358	19.487	49.357	27.205	67.144	11.077	12.407
24.358	19.487	49.558	27.205	67.144	11.077	12.407
24.358	19.487	49.558	27.416	67.144	11.077	12.407
24.358	19.742	49.558	27.416	67.144	11.284	12.407
24.358	19.742	49.779	27.416	67.359	11.284	12.407
24.573	19.742	49.779	27.416	67.359	11.284	12.407
24.573	19.742	49.779	27.416	67.359	11.284	12.627
24.573	19.742	49.779	27.416	67.359	11.284	12.627
24.573	19.948	49.779	27.416	67.359	11.284	12.627
24.573	19.948	49.993	27.416	67.359	11.284	12.627
24.573	19.948	49.993	27.632	67.359	11.284	12.627
24.573	19.948	50.313	27.632	67.359	11.532	12.627
24.573	19.948	50.552	27.632	67.359	11.532	12.627
24.573	19.948	50.770	27.632	67.359	11.532	12.627
24.815	19.948	51.010	27.632	67.359	11.532	12.846
24.815	19.948	51.319	27.632	67.588	11.532	12.846
24.815	20.244	51.543	27.849	67.588	11.532	12.846
24.815	20.244	51.543	27.849	67.588	11.532	12.846
24.815	20.244	51.844	27.849	67.588	11.780	12.846
24.815	20.525	51.844	27.849	67.836	11.780	12.846
25.022	20.525	51.844	27.849	67.836	11.780	12.846
25.022	20.525	51.844	27.849	67.836	11.780	12.846
25.022	20.766	51.844	27.849	68.095	11.780	12.846
25.022	20.766	51.844	27.849	68.095	12.011	12.846
25.022	21.015	52.100	28.064	68.095	12.011	12.846
25.022	21.015	52.100	28.064	68.396	12.011	13.062
25.284	21.281	52.351	28.064	68.396	12.011	13.062
25.284	21.281	52.351	28.064	68.616	12.011	13.062
25.284	21.502	52.724	28.064	68.616	12.011	13.062
25.494	21.502	52.724	28.064	68.837	12.011	13.062
25.494	21.502	53.105	28.064	68.837	12.011	13.062
25.494	21.502	53.105	28.275	69.047	12.011	13.062
25.494	21.720	53.466	28.275	69.047	12.011	13.062
25.720	21.720	53.466	28.275	69.047	12.224	13.062
25.720	21.720	53.726	28.275	69.338	12.224	13.062
25.720	21.720	53.726	28.530	69.338	12.224	13.286
25.720	21.981	53.939	28.530	69.338	12.224	13.286
25.992	21.981	53.939	28.530	69.581	12.224	13.286
25.992	21.981	54.173	28.746	69.581	12.224	13.286
25.992	21.981	54.173	28.746	69.581	12.224	13.286
26.228	21.981	54.399	28.970	69.856	12.224	13.286
26.228	21.981	54.399	28.970	69.856	12.224	13.286
26.228	21.981	54.399	28.970	70.098	12.224	13.286
26.472	21.981	54.712	29.201	70.098	12.224	13.286
26.472	21.981	54.712	29.201	70.423	12.224	13.286
26.472	22.183	54.959	29.201	70.423	12.224	13.286
26.678	22.183	54.959	29.475	70.811	12.224	13.286
26.678	22.183	55.171	29.475	70.811	12.224	13.487
26.678	22.183	55.171	29.475	71.123	12.437	13.487
26.889	22.386	55.171	29.760	71.123	12.437	13.487
26.889	22.386	55.171	29.760	71.430	12.437	13.487
26.889	22.386	55.389	29.962	71.430	12.437	13.487
27.139	22.386	55.389	29.962	71.715	12.437	13.717
27.139	22.386	55.389	30.212	71.715	12.437	13.717
27.139	22.596	55.389	30.212	71.980	12.437	13.717
27.139	22.596	55.389	30.487	71.980	12.437	13.717
27.418	22.596	55.389	30.487	72.272	12.437	13.717
27.418	22.596	55.389	30.724	72.272	12.653	13.717
27.633	22.596	55.631	30.724	72.601	12.653	13.969
27.633	22.803	55.631	30.999	72.601	12.653	13.969
27.843	22.803	55.631	30.999	72.984	12.653	13.969
27.843	22.803	55.902	31.230	73.185	12.653	14.188
27.843	22.803	55.902	31.230	73.185	12.865	14.188
28.146	22.803	55.902	31.436	73.539	12.865	14.188
28.146	22.803	56.114	31.436	73.539	12.865	14.433
28.370	22.803	56.114	31.668	73.871	12.865	14.433
28.370	22.803	56.114	31.668	73.871	12.865	14.433
28.581	22.803	56.114	31.936	74.188	12.865	14.707
28.581	23.045	56.341	31.936	74.188	12.865	14.707
28.792	23.045	56.341	32.217	74.446	12.865	14.707
28.792	23.045	56.341	32.432	74.446	12.865	14.946
29.002	23.045	56.341	32.432	74.655	12.865	14.946
29.002	23.045	56.341	32.761	74.655	12.865	14.946
29.002	23.045	56.564	32.761	74.655	12.865	15.188
29.305	23.271	56.564	33.015	74.924	13.085	15.188
29.305	23.271	56.564	33.015	74.924	13.085	15.188
29.528	23.271	56.564	33.310	75.172	13.085	15.436
29.528	23.271	56.771	33.310	75.172	13.085	15.436
29.782	23.271	56.771	33.643	75.479	13.085	15.436
29.782	23.483	56.771	33.643	75.479	13.303	15.684
30.019	23.483	56.771	33.946	75.850	13.303	15.684
30.019	23.483	56.997	33.946	76.388	13.303	15.684
30.273	23.483	56.997	34.260	76.388	13.303	15.684
30.273	23.483	57.209	34.260	76.716	13.303	15.684
30.497	23.483	57.209	34.541	76.918	13.545	15.888
30.497	23.695	57.412	34.541	76.918	13.545	15.888
30.497	23.695	57.412	34.815	77.222	13.545	15.888
30.777	23.695	57.701	34.815	77.222	13.545	15.888
30.777	23.695	57.701	35.043	77.483	13.545	15.888
30.777	23.695	58.085	35.043	77.483	13.545	15.888
31.068	23.695	58.315	35.043	77.715	13.796	15.888
31.068	23.695	58.579	35.327	77.715	13.796	15.888
31.068	23.954	58.848	35.327	77.715	13.796	16.096
31.371	23.954	59.086	35.327	77.961	13.796	16.096
31.371	23.954	59.319	35.596	77.961	13.796	16.096
31.600	23.954	59.568	35.596	77.961	14.041	16.096
