RHand	LHand	Head
11.124	26.595	6.829
11.491	19.613	6.055
9.699	15.083	6.360
8.739	9.006	6.691
8.882	3.895	8.428
6.852	3.656	9.415
9.398	3.411	7.994
11.411	2.610	8.242
12.470	7.144	9.515
12.822	11.482	10.212
13.271	12.549	11.261
12.452	16.035	10.967
11.035	18.652	11.739
8.982	18.598	11.054
8.223	19.043	9.568
5.636	19.103	10.532
3.278	18.029	10.413
4.604	15.750	9.744
6.867	13.022	9.624
7.646	12.336	9.159
6.531	10.624	8.644
5.931	11.586	7.927
5.651	11.728	7.871
4.760	10.506	8.034
3.056	11.296	9.456
2.129	9.580	10.076
2.573	9.882	12.099
4.791	12.130	15.285
4.630	11.582	16.239
3.298	12.342	18.328
3.136	12.729	19.410
4.335	10.602	17.662
5.428	9.298	15.633
5.926	7.892	14.914
6.974	5.965	15.315
7.128	3.116	14.930
3.980	2.540	14.278
1.874	2.448	14.915
2.938	0.961	13.224
2.970	1.433	13.857
3.781	3.493	14.598
4.913	6.747	15.248
4.512	6.715	16.485
4.161	8.126	17.324
3.924	9.165	19.119
4.158	8.934	19.913
3.591	7.336	18.889
2.194	8.168	17.702
1.857	7.802	17.122
2.377	5.503	16.572
2.427	6.222	16.740
3.727	5.865	15.865
5.922	5.264	13.680
5.700	5.432	12.906
4.463	5.898	11.121
4.254	4.300	10.472
3.937	3.606	9.415
3.735	5.089	8.757
3.314	5.179	9.995
1.892	5.812	10.848
3.954	7.702	12.358
4.807	4.613	13.928
5.133	3.258	15.368
4.505	5.495	16.894
6.724	6.313	18.533
5.864	6.504	36.179
3.377	9.006	35.947
4.431	10.616	16.392
4.058	9.700	4.917
2.602	10.162	5.806
1.719	10.980	15.183
1.742	14.405	14.453
2.286	17.923	13.071
2.469	19.225	11.297
3.504	21.606	11.565
5.582	24.705	9.820
7.704	26.601	8.373
6.363	25.206	8.538
6.461	23.404	7.366
6.993	23.897	6.229
6.933	22.681	6.257
9.405	19.338	5.780
8.579	16.194	4.930
6.820	14.197	5.381
6.552	11.000	6.700
10.145	6.963	7.466
14.140	3.102	8.418
8.874	2.361	9.645
6.183	2.292	10.244
3.349	3.875	9.996
1.917	5.428	11.960
1.873	4.774	13.872
1.970	5.752	17.176
2.983	5.638	18.381
4.353	4.183	13.669
4.400	3.061	12.462
4.291	2.898	12.015
1.640	2.009	11.650
1.183	1.391	10.836
3.554	2.812	9.910
2.056	4.316	12.396
1.771	6.335	11.879
3.398	7.607	10.554
3.853	8.502	10.994
3.525	10.036	10.735
3.217	11.004	10.104
5.202	13.269	16.680
5.243	15.026	19.868
5.576	15.600	18.432
7.450	17.680	21.595
7.459	20.890	21.662
9.277	20.119	20.008
9.001	20.068	27.658
7.503	20.907	15.164
8.547	22.047	20.470
7.090	22.865	9.594
6.378	22.819	8.277
7.832	21.837	8.834
8.229	17.262	22.127
8.407	14.609	8.764
9.202	15.145	18.590
10.925	17.473	7.775
13.813	18.306	8.946
15.122	16.978	7.305
14.947	16.364	7.851
11.915	14.907	14.992
9.484	9.395	8.651
9.834	4.912	27.429
8.722	3.990	10.220
9.956	3.367	10.219
13.123	3.787	11.554
12.832	5.996	13.544
12.444	6.128	9.066
11.725	3.492	13.867
10.584	3.196	29.021
9.397	3.878	10.521
6.165	7.251	10.499
3.219	6.416	11.015
4.116	5.848	5.267
3.113	5.504	14.913
0.657	5.412	31.970
2.978	3.264	18.254
4.136	4.192	16.887
4.460	5.186	15.706
2.957	8.386	14.679
1.096	12.493	14.401
2.780	10.724	13.790
3.379	10.812	8.464
3.949	10.258	13.063
4.655	9.902	30.711
4.350	11.196	11.259
4.330	10.800	11.110
3.883	9.202	11.005
3.529	8.519	7.737
5.611	7.836	8.310
4.591	7.354	10.077
4.341	5.279	12.165
4.408	5.390	8.531
3.012	6.560	21.238
2.763	5.287	7.116
1.893	3.099	7.903
2.852	5.702	9.276
3.164	5.452	8.241
3.988	4.563	13.583
5.503	3.514	6.710
3.969	7.420	21.648
3.206	9.809	6.991
2.871	10.969	7.062
3.226	11.857	7.477
3.879	8.790	5.639
5.015	3.964	16.635
7.116	5.841	5.209
10.904	6.296	20.748
13.639	5.469	3.909
13.397	5.490	4.857
12.499	3.281	6.054
12.848	2.757	7.064
11.583	4.786	13.603
7.918	6.239	7.512
6.726	7.813	24.595
6.781	7.101	8.301
6.647	5.397	7.863
7.735	4.920	7.867
8.331	4.775	6.272
10.175	5.363	16.972
10.775	6.088	3.806
12.030	6.927	19.715
14.422	7.126	5.862
16.112	7.718	6.697
17.095	5.640	7.024
14.809	4.088	18.291
14.278	2.942	0.465
14.909	1.946	17.951
14.445	2.228	3.448
14.410	2.570	5.056
13.384	4.245	5.837
14.639	4.545	6.160
16.558	4.647	19.618
18.941	3.724	4.833
20.847	3.929	22.653
21.764	3.850	6.300
20.093	2.573	6.464
