P4_hand_rP4_hands_pos_X	P4_hand_rP4_hands_pos_Y	P4_hand_rP4_hands_pos_Z	P4_hand_lP4_hands_pos_X	P4_hand_lP4_hands_pos_Y	P4_hand_lP4_hands_pos_Z
80.574	-1.618	779.742	28.812	167.339	773.100
80.613	-1.651	779.714	28.908	167.412	773.090
80.643	-1.662	779.680	28.993	167.503	773.041
80.661	-1.694	779.679	29.069	167.567	772.989
80.671	-1.701	779.661	29.143	167.658	772.890
80.672	-1.720	779.604	29.179	167.790	772.811
80.709	-1.780	779.552	29.222	167.966	772.740
80.748	-1.845	779.498	29.242	168.162	772.642
80.808	-1.932	779.419	29.280	168.412	772.605
80.908	-2.036	779.344	29.365	168.673	772.596
81.005	-2.104	779.291	29.382	168.995	772.589
81.066	-2.136	779.232	29.414	169.361	772.616
81.126	-2.184	779.164	29.483	169.772	772.617
81.169	-2.203	779.115	29.563	170.287	772.706
81.169	-2.198	779.075	29.641	170.813	772.805
81.158	-2.175	779.055	29.743	171.336	772.880
81.128	-2.125	779.022	29.839	171.794	772.917
81.086	-2.055	778.974	29.922	172.281	772.947
81.024	-1.966	778.924	29.985	172.783	772.979
80.981	-1.849	778.856	30.051	173.246	772.992
80.946	-1.730	778.769	30.099	173.655	772.970
80.853	-1.613	778.694	30.137	174.005	772.984
80.784	-1.475	778.618	30.159	174.340	772.961
80.729	-1.319	778.496	30.186	174.675	772.907
80.697	-1.241	778.403	30.251	175.044	772.893
80.656	-1.172	778.336	30.338	175.388	772.899
80.616	-1.125	778.304	30.399	175.679	772.891
80.550	-1.070	778.282	30.513	175.938	772.877
80.538	-0.992	778.232	30.553	176.159	772.830
80.486	-0.954	778.176	30.572	176.376	772.792
80.470	-0.903	778.100	30.615	176.584	772.755
80.463	-0.854	778.026	30.625	176.797	772.706
80.443	-0.817	777.955	30.654	177.071	772.684
80.429	-0.679	777.870	30.674	177.303	772.625
80.412	-0.634	777.825	30.728	177.553	772.568
80.402	-0.601	777.765	30.772	177.796	772.510
80.368	-0.567	777.713	30.821	178.081	772.435
80.332	-0.516	777.685	30.826	178.339	772.333
80.297	-0.464	777.661	30.858	178.546	772.203
80.272	-0.406	777.637	30.877	178.741	772.096
80.256	-0.365	777.656	30.951	178.883	771.972
80.257	-0.318	777.652	31.009	179.045	771.848
80.287	-0.283	777.658	31.093	179.182	771.738
80.302	-0.268	777.676	31.180	179.281	771.630
80.329	-0.260	777.677	31.254	179.389	771.570
80.327	-0.238	777.674	31.355	179.501	771.500
80.332	-0.234	777.674	31.417	179.569	771.474
80.338	-0.220	777.679	31.507	179.670	771.433
80.323	-0.234	777.686	31.564	179.716	771.405
80.301	-0.236	777.673	31.625	179.761	771.347
80.291	-0.235	777.688	31.669	179.806	771.296
80.261	-0.238	777.692	31.728	179.844	771.261
80.233	-0.242	777.714	31.771	179.866	771.182
80.226	-0.250	777.713	31.827	179.875	771.139
80.221	-0.247	777.710	31.883	179.875	771.110
80.220	-0.251	777.711	31.937	179.915	771.103
80.216	-0.279	777.738	31.954	179.951	771.112
80.227	-0.269	777.778	31.966	179.987	771.136
80.232	-0.296	777.808	31.963	180.055	771.236
80.253	-0.296	777.836	31.925	180.097	771.296
80.242	-0.296	777.886	31.922	180.118	771.335
80.237	-0.324	777.916	31.908	180.132	771.354
80.229	-0.337	777.948	31.877	180.177	771.378
80.193	-0.347	777.994	31.838	180.209	771.396
80.167	-0.354	778.026	31.842	180.253	771.482
80.137	-0.380	778.069	31.809	180.309	771.594
80.115	-0.402	778.087	31.776	180.374	771.719
80.087	-0.423	778.107	31.720	180.419	771.884
80.078	-0.437	778.115	31.645	180.469	772.069
80.075	-0.441	778.121	31.566	180.507	772.219
80.073	-0.436	778.152	31.484	180.535	772.358
80.102	-0.432	778.166	31.412	180.562	772.499
80.117	-0.415	778.174	31.343	180.587	772.625
80.125	-0.401	778.177	31.297	180.604	772.708
80.118	-0.404	778.188	31.242	180.595	772.829
80.116	-0.372	778.199	31.159	180.593	772.937
80.122	-0.328	778.217	31.095	180.580	773.067
80.100	-0.346	778.217	31.014	180.541	773.175
80.098	-0.383	778.244	30.951	180.457	773.267
80.071	-0.407	778.247	30.873	180.367	773.361
80.077	-0.413	778.282	30.775	180.253	773.505
80.097	-0.462	778.299	30.742	180.145	773.621
80.143	-0.482	778.330	30.664	180.040	773.742
80.207	-0.493	778.308	30.628	179.953	773.839
80.289	-0.531	778.294	30.572	179.876	773.981
80.400	-0.578	778.283	30.468	179.799	774.152
80.510	-0.702	778.308	30.382	179.728	774.317
80.614	-0.762	778.306	30.255	179.671	774.509
80.733	-0.855	778.337	30.170	179.621	774.679
80.840	-0.936	778.349	30.061	179.573	774.841
80.947	-1.040	778.349	29.918	179.553	774.984
81.050	-1.143	778.341	29.851	179.540	775.088
81.183	-1.188	778.334	29.760	179.557	775.150
81.237	-1.269	778.317	29.665	179.589	775.219
81.289	-1.293	778.310	29.568	179.660	775.304
81.310	-1.319	778.316	29.472	179.725	775.368
81.313	-1.320	778.322	29.377	179.836	775.421
81.292	-1.316	778.292	29.313	179.943	775.456
81.263	-1.290	778.294	29.252	180.051	775.480
81.236	-1.282	778.284	29.211	180.193	775.439
81.209	-1.251	778.288	29.215	180.354	775.381
81.163	-1.236	778.299	29.243	180.552	775.298
81.131	-1.215	778.321	29.301	180.792	775.204
81.113	-1.222	778.331	29.385	181.075	775.073
81.076	-1.195	778.329	29.538	181.363	774.888
81.033	-1.167	778.345	29.687	181.664	774.739
80.988	-1.121	778.352	29.828	181.931	774.594
80.918	-1.097	778.344	29.995	182.211	774.394
80.896	-1.048	778.337	30.245	182.444	774.174
80.881	-1.057	778.317	30.366	182.739	773.912
80.878	-1.047	778.310	30.487	183.022	773.667
80.912	-1.024	778.317	30.600	183.243	773.419
80.906	-1.031	778.292	30.731	183.435	773.238
80.918	-1.030	778.308	30.819	183.648	773.096
80.953	-1.040	778.314	30.903	183.882	772.961
80.990	-1.040	778.279	31.020	184.104	772.835
81.036	-1.056	778.274	31.128	184.310	772.715
81.069	-1.068	778.265	31.264	184.511	772.514
81.089	-1.075	778.278	31.406	184.687	772.311
81.098	-1.096	778.288	31.518	184.895	772.137
81.113	-1.126	778.299	31.606	185.093	771.994
81.128	-1.136	778.306	31.687	185.242	771.807
81.124	-1.148	778.307	31.649	185.402	771.708
81.156	-1.165	778.307	31.623	185.510	771.664
81.194	-1.154	778.285	31.580	185.573	771.611
81.206	-1.169	778.281	31.558	185.625	771.575
81.240	-1.171	778.275	31.541	185.619	771.571
81.259	-1.193	778.270	31.517	185.606	771.536
81.292	-1.213	778.251	31.504	185.633	771.506
81.348	-1.194	778.234	31.485	185.640	771.469
81.400	-1.221	778.224	31.470	185.651	771.406
81.444	-1.235	778.209	31.423	185.692	771.355
81.501	-1.255	778.225	31.400	185.709	771.284
81.518	-1.260	778.206	31.341	185.731	771.192
81.571	-1.273	778.205	31.285	185.716	771.118
81.616	-1.279	778.202	31.253	185.696	771.028
81.667	-1.274	778.189	31.230	185.624	770.928
81.694	-1.299	778.173	31.227	185.523	770.800
81.700	-1.302	778.182	31.275	185.424	770.709
81.679	-1.314	778.205	31.324	185.341	770.595
81.681	-1.337	778.221	31.350	185.310	770.475
81.703	-1.324	778.235	31.388	185.297	770.403
81.700	-1.358	778.236	31.442	185.295	770.343
81.727	-1.370	778.249	31.463	185.291	770.258
81.760	-1.402	778.253	31.504	185.321	770.210
81.787	-1.422	778.268	31.525	185.313	770.161
81.841	-1.419	778.286	31.526	185.302	770.128
81.886	-1.421	778.314	31.573	185.266	770.089
81.930	-1.429	778.332	31.576	185.249	770.087
81.960	-1.439	778.330	31.576	185.206	770.058
82.009	-1.462	778.324	31.568	185.170	769.998
82.044	-1.497	778.337	31.596	185.137	769.967
82.084	-1.552	778.362	31.577	185.092	769.941
82.092	-1.585	778.350	31.549	185.026	769.899
82.128	-1.631	778.320	31.519	184.962	769.843
82.154	-1.659	778.297	31.536	184.930	769.821
82.196	-1.702	778.281	31.541	184.938	769.777
82.211	-1.692	778.286	31.551	184.921	769.738
82.238	-1.706	778.287	31.558	184.935	769.676
82.252	-1.722	778.296	31.577	184.960	769.585
82.280	-1.739	778.301	31.555	184.993	769.528
82.319	-1.753	778.303	31.589	185.018	769.468
82.357	-1.775	778.306	31.645	185.051	769.431
82.390	-1.764	778.299	31.645	185.088	769.416
82.419	-1.763	778.284	31.684	185.111	769.413
82.445	-1.772	778.294	31.681	185.124	769.450
82.467	-1.782	778.259	31.667	185.153	769.469
82.485	-1.765	778.275	31.700	185.137	769.489
82.501	-1.768	778.271	31.716	185.146	769.480
82.502	-1.759	778.244	31.707	185.110	769.455
82.487	-1.753	778.259	31.698	185.096	769.450
82.480	-1.742	778.213	31.698	185.096	769.465
82.467	-1.732	778.188	31.698	185.048	769.471
82.494	-1.758	778.191	31.664	185.002	769.497
82.495	-1.758	778.162	31.639	184.966	769.537
82.534	-1.768	778.161	31.619	184.929	769.507
82.574	-1.824	778.139	31.623	184.899	769.473
82.634	-1.880	778.109	31.594	184.885	769.461
82.690	-1.891	778.093	31.578	184.854	769.473
82.744	-1.890	778.060	31.589	184.820	769.483
82.769	-1.922	778.045	31.585	184.793	769.516
82.779	-1.927	778.019	31.598	184.786	769.518
82.813	-1.941	777.989	31.618	184.790	769.492
82.806	-1.971	777.972	31.624	184.802	769.430
82.826	-1.980	777.932	31.684	184.834	769.342
82.831	-1.978	777.914	31.716	184.836	769.247
82.836	-1.927	777.909	31.804	184.855	769.115
82.804	-1.916	777.902	31.851	184.860	769.023
82.737	-1.890	777.877	31.958	184.890	768.918
82.702	-1.856	777.873	32.035	184.919	768.819
82.610	-1.796	777.873	32.092	184.943	768.703
82.577	-1.781	777.841	32.144	184.973	768.640
82.536	-1.739	777.816	32.248	184.979	768.534
82.523	-1.722	777.794	32.316	185.015	768.495
82.563	-1.723	777.748	32.406	185.032	768.488
82.616	-1.743	777.720	32.469	185.039	768.521
82.670	-1.750	777.683	32.548	185.021	768.524
82.720	-1.788	777.613	32.643	185.023	768.567
82.719	-1.780	777.592	32.702	184.998	768.578
82.731	-1.756	777.557	32.744	184.973	768.571
82.722	-1.762	777.547	32.759	184.963	768.556
82.722	-1.763	777.537	32.777	184.916	768.491
82.712	-1.747	777.558	32.785	184.902	768.477
82.707	-1.751	777.572	32.800	184.875	768.441
82.691	-1.728	777.565	32.818	184.836	768.441
82.673	-1.716	777.593	32.837	184.838	768.430
82.652	-1.707	777.582	32.892	184.842	768.396
82.656	-1.715	777.577	32.927	184.838	768.335
82.637	-1.758	777.524	32.965	184.872	768.270
82.632	-1.824	777.507	33.018	184.913	768.190
82.656	-1.879	777.462	33.089	184.986	768.105
82.675	-1.904	777.407	33.121	185.065	768.029
82.685	-1.958	777.379	33.158	185.133	767.986
82.699	-2.000	777.380	33.192	185.225	767.934
82.737	-2.108	777.385	33.234	185.282	767.943
82.774	-2.126	777.427	33.251	185.329	767.941
82.805	-2.161	777.430	33.290	185.397	767.935
82.817	-2.129	777.471	33.322	185.398	767.939
82.763	-2.130	777.518	33.345	185.391	767.898
82.732	-2.178	777.578	33.348	185.390	767.851
82.660	-2.172	777.618	33.360	185.382	767.765
82.623	-2.204	777.632	33.408	185.357	767.641
82.617	-2.177	777.627	33.493	185.342	767.476
82.642	-2.174	777.608	33.598	185.295	767.268
82.669	-2.238	777.590	33.675	185.309	767.064
82.743	-2.266	777.557	33.791	185.288	766.854
82.821	-2.327	777.526	33.929	185.253	766.581
82.911	-2.407	777.518	34.021	185.218	766.380
82.973	-2.500	777.526	34.108	185.169	766.242
83.033	-2.554	777.550	34.173	185.143	766.130
83.055	-2.631	777.607	34.195	185.120	766.092
83.047	-2.683	777.672	34.196	185.094	766.074
82.982	-2.682	777.710	34.191	185.054	766.060
82.886	-2.684	777.770	34.200	185.030	766.051
82.800	-2.659	777.846	34.202	185.012	766.031
82.682	-2.626	777.901	34.256	185.024	765.919
82.582	-2.643	777.980	34.292	185.059	765.825
82.469	-2.643	778.058	34.346	185.122	765.706
82.386	-2.683	778.130	34.400	185.215	765.567
82.328	-2.736	778.200	34.472	185.333	765.425
82.294	-2.782	778.248	34.540	185.435	765.301
82.264	-2.862	778.285	34.627	185.591	765.192
82.251	-2.880	778.282	34.708	185.728	765.123
82.206	-2.885	778.304	34.794	185.881	765.059
82.160	-2.872	778.270	34.826	185.997	765.009
82.078	-2.844	778.273	34.884	186.097	764.943
82.022	-2.813	778.299	34.900	186.186	764.869
81.966	-2.783	778.299	34.918	186.255	764.806
81.918	-2.770	778.335	34.971	186.318	764.692
81.864	-2.769	778.346	34.970	186.358	764.602
81.834	-2.777	778.380	34.996	186.425	764.513
81.841	-2.801	778.393	35.031	186.504	764.441
81.846	-2.811	778.403	35.064	186.520	764.361
81.868	-2.840	778.413	35.100	186.613	764.291
81.901	-2.889	778.412	35.176	186.702	764.247
81.920	-2.916	778.402	35.241	186.776	764.206
81.930	-2.948	778.412	35.344	186.867	764.174
81.908	-2.977	778.409	35.429	186.948	764.199
81.850	-2.978	778.426	35.456	187.032	764.249
81.805	-2.986	778.443	35.519	187.096	764.265
81.739	-2.988	778.465	35.498	187.160	764.331
81.675	-2.949	778.480	35.516	187.194	764.333
81.608	-2.932	778.472	35.500	187.213	764.363
81.602	-2.919	778.481	35.495	187.240	764.339
81.578	-2.910	778.477	35.469	187.240	764.336
81.555	-2.886	778.468	35.487	187.243	764.322
81.530	-2.876	778.469	35.495	187.240	764.323
81.487	-2.853	778.473	35.511	187.236	764.256
81.439	-2.840	778.483	35.542	187.235	764.197
81.402	-2.825	778.469	35.559	187.256	764.132
81.357	-2.828	778.484	35.582	187.289	764.049
81.324	-2.814	778.467	35.609	187.298	763.961
81.288	-2.795	778.450	35.632	187.344	763.886
81.277	-2.785	778.421	35.659	187.365	763.841
81.285	-2.807	778.408	35.689	187.402	763.745
81.268	-2.816	778.402	35.709	187.408	763.699
81.245	-2.813	778.383	35.712	187.438	763.643
81.232	-2.829	778.372	35.717	187.462	763.587
81.218	-2.877	778.357	35.717	187.464	763.529
81.225	-2.928	778.307	35.697	187.484	763.486
81.237	-2.961	778.282	35.676	187.455	763.429
81.256	-2.990	778.252	35.675	187.479	763.370
81.255	-3.011	778.216	35.664	187.464	763.344
81.269	-3.024	778.181	35.670	187.420	763.329
81.264	-3.039	778.147	35.669	187.376	763.293
81.280	-3.039	778.118	35.675	187.337	763.267
81.246	-3.049	778.115	35.680	187.260	763.291
81.202	-3.052	778.122	35.706	187.189	763.295
81.156	-3.057	778.084	35.706	187.172	763.290
81.109	-3.039	778.079	35.724	187.134	763.266
81.090	-3.049	778.023	35.740	187.101	763.213
81.042	-3.087	777.973	35.748	187.088	763.151
81.022	-3.104	777.945	35.761	187.096	763.084
81.021	-3.123	777.920	35.798	187.098	762.978
81.006	-3.184	777.909	35.817	187.105	762.880
80.991	-3.195	777.941	35.832	187.130	762.790
80.987	-3.217	777.945	35.855	187.179	762.694
80.989	-3.228	777.935	35.879	187.222	762.596
81.012	-3.240	777.938	35.922	187.321	762.453
81.027	-3.237	777.958	36.017	187.396	762.315
81.061	-3.234	777.941	36.093	187.505	762.162
81.092	-3.234	777.931	36.183	187.630	761.991
81.166	-3.252	777.909	36.287	187.789	761.807
81.233	-3.266	777.878	36.374	187.974	761.634
81.267	-3.314	777.863	36.442	188.172	761.518
81.325	-3.348	777.839	36.512	188.333	761.366
81.385	-3.367	777.810	36.590	188.541	761.253
81.444	-3.390	777.780	36.638	188.716	761.158
81.528	-3.468	777.740	36.714	188.854	761.063
81.571	-3.475	777.703	36.819	188.926	760.991
81.623	-3.468	777.642	36.960	188.962	760.972
81.651	-3.407	777.625	37.030	188.932	760.931
81.545	-3.283	777.673	37.070	188.933	760.892
81.462	-3.202	777.669	37.060	188.946	760.878
81.392	-3.200	777.640	37.054	188.975	760.906
81.350	-3.179	777.621	37.051	188.959	760.922
81.330	-3.175	777.645	37.099	188.957	760.966
81.333	-3.208	777.639	37.128	188.924	760.989
81.345	-3.207	777.633	37.170	188.916	761.015
81.360	-3.234	777.626	37.228	188.908	761.044
81.392	-3.239	777.615	37.274	188.907	761.058
81.416	-3.287	777.586	37.304	188.913	761.079
81.423	-3.253	777.533	37.323	188.923	761.091
81.427	-3.251	777.508	37.340	188.957	761.094
81.449	-3.256	777.514	37.339	188.959	761.100
81.427	-3.228	777.513	37.364	188.943	761.099
81.425	-3.189	777.508	37.343	188.907	761.080
81.428	-3.188	777.521	37.344	188.862	761.076
81.441	-3.159	777.519	37.340	188.784	761.050
81.425	-3.120	777.524	37.365	188.721	761.023
81.448	-3.083	777.524	37.374	188.634	760.977
81.461	-3.065	777.550	37.388	188.542	760.936
81.495	-3.044	777.547	37.374	188.444	760.866
81.550	-3.021	777.581	37.370	188.329	760.778
81.591	-3.050	777.588	37.350	188.222	760.664
81.649	-3.061	777.612	37.329	188.118	760.552
81.722	-3.098	777.641	37.332	188.000	760.390
81.792	-3.098	777.632	37.338	187.893	760.200
81.892	-3.172	777.652	37.329	187.797	760.042
81.932	-3.210	777.647	37.306	187.695	759.852
82.027	-3.235	777.642	37.309	187.576	759.688
82.088	-3.277	777.624	37.344	187.445	759.491
82.135	-3.308	777.586	37.404	187.330	759.315
82.200	-3.332	777.599	37.425	187.237	759.093
82.279	-3.369	777.600	37.472	187.176	758.912
82.343	-3.408	777.624	37.521	187.148	758.774
82.414	-3.450	777.658	37.555	187.119	758.637
82.481	-3.483	777.721	37.618	187.072	758.497
82.571	-3.535	777.784	37.690	187.025	758.329
82.698	-3.602	777.844	37.768	186.991	758.173
82.835	-3.653	777.874	37.834	186.969	758.027
82.967	-3.711	777.915	37.924	186.933	757.891
