RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z	Head_X	Head_Y	Head_Z
47.196	47.444	31.845	31.628	66.067	44.308	66.756	211.756	26.351
47.196	47.444	31.845	31.628	66.433	44.523	66.977	211.756	26.351
47.196	47.444	31.845	31.628	66.433	44.523	66.977	211.756	26.351
47.196	47.444	31.845	31.628	66.765	44.523	66.977	211.756	26.351
47.196	47.444	31.845	31.628	66.765	44.523	67.184	211.756	26.351
47.196	47.444	31.845	31.628	66.765	44.523	67.184	211.756	26.351
47.196	47.444	31.845	31.628	66.765	44.523	67.184	211.756	26.351
47.196	47.444	32.097	31.628	66.765	44.523	67.184	211.756	26.351
47.196	47.661	32.097	31.628	66.765	44.523	67.184	211.756	26.351
47.196	47.661	32.097	31.628	66.765	44.725	67.184	211.997	26.351
47.196	47.661	32.097	31.628	66.765	44.725	67.184	211.997	26.351
47.196	47.661	32.308	31.628	66.765	44.725	67.184	211.997	26.351
47.196	47.661	32.308	31.628	66.765	44.725	67.184	211.997	26.351
47.196	47.881	32.308	31.628	66.765	44.725	67.184	212.227	26.351
47.196	47.881	32.308	31.628	66.765	44.725	67.184	212.227	26.351
47.196	47.881	32.308	31.628	66.765	44.725	67.184	212.227	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.184	212.227	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.184	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.184	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.441	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.441	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.441	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.441	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.704	212.443	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.509	31.628	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.509	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.509	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.509	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.509	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.704	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.904	212.650	26.351
47.196	47.881	32.721	31.832	66.765	44.725	67.904	212.879	26.614
47.196	47.881	32.721	31.832	66.765	44.725	68.118	212.879	26.614
47.196	47.881	32.721	31.832	66.765	44.725	68.118	212.879	26.614
47.196	47.881	32.721	31.832	66.765	44.725	68.388	212.879	26.883
47.196	47.881	32.721	31.832	66.765	44.725	68.388	213.121	26.883
47.196	47.881	32.721	31.832	66.765	44.725	68.741	213.121	27.091
47.196	47.881	32.721	31.832	66.765	44.725	68.741	213.121	27.091
47.196	47.881	32.721	31.832	66.983	44.725	69.118	213.339	27.091
47.196	47.881	32.721	31.832	66.983	44.725	69.323	213.339	27.323
47.196	47.881	32.721	31.832	66.983	44.725	69.546	213.586	27.323
47.196	47.881	32.721	31.832	66.983	44.725	69.776	213.586	27.323
47.196	47.881	32.721	31.832	66.983	44.725	70.042	213.586	27.534
47.196	47.881	32.721	31.832	66.983	44.725	70.312	213.790	27.534
47.196	47.881	32.721	31.832	66.983	44.725	70.584	213.790	27.739
47.196	47.881	32.721	31.832	66.983	44.725	70.878	213.790	27.739
47.196	47.881	32.721	31.832	66.983	44.725	71.158	213.790	27.739
47.196	47.881	32.926	31.832	66.983	44.725	71.442	214.014	27.739
47.397	48.094	32.926	31.832	66.983	44.725	71.706	214.014	28.062
47.397	48.094	32.926	31.832	66.983	44.725	71.967	214.014	28.062
47.397	48.094	33.134	31.832	66.983	44.725	72.236	214.014	28.062
47.397	48.094	33.134	31.832	67.192	44.725	72.527	214.014	28.313
47.397	48.299	33.134	31.832	67.192	44.725	72.801	214.014	28.313
47.397	48.299	33.406	31.832	67.192	44.725	73.072	214.014	28.313
47.397	48.299	33.406	31.832	67.192	44.725	73.365	214.014	28.609
47.397	48.299	33.632	31.832	67.192	44.725	73.606	214.014	28.609
47.397	48.299	33.632	32.055	67.192	44.725	73.821	214.014	28.609
47.397	48.299	33.632	32.055	67.192	44.725	74.074	214.014	28.842
47.397	48.299	33.873	32.055	67.192	44.725	74.349	214.014	28.842
47.397	48.299	33.873	32.055	67.192	44.725	74.610	214.282	28.842
47.654	48.299	33.873	32.055	67.192	44.725	74.865	214.282	29.093
47.654	48.299	34.095	32.055	67.192	44.725	75.073	214.506	29.093
47.881	48.299	34.095	32.055	67.192	44.725	75.073	214.506	29.296
47.881	48.299	34.446	32.055	67.192	44.725	75.396	214.506	29.296
48.275	48.299	34.709	32.055	67.192	44.725	75.396	214.506	29.296
48.557	48.299	35.046	32.055	67.192	44.725	75.710	214.706	29.296
48.876	48.299	35.359	32.055	67.192	44.725	75.710	214.706	29.550
49.271	48.544	35.684	32.055	67.192	44.725	75.970	214.913	29.550
49.735	48.544	35.992	32.055	67.192	44.725	75.970	214.913	29.550
50.278	48.910	36.314	32.055	67.192	44.725	75.970	214.913	29.550
50.869	49.200	36.771	32.055	67.192	44.725	76.224	214.913	29.550
51.466	49.536	37.263	32.055	67.192	44.725	76.224	214.913	29.550
52.050	49.920	37.772	32.055	67.192	44.725	76.224	215.149	29.550
52.641	50.303	38.259	32.055	67.192	44.725	76.224	215.149	29.550
53.209	50.596	38.718	32.055	67.192	44.725	76.224	215.149	29.550
53.765	51.002	39.186	32.055	67.192	44.725	76.224	215.149	29.550
54.302	51.375	39.594	32.055	67.192	44.725	76.224	215.149	29.550
54.806	51.804	39.942	32.055	67.192	44.725	76.224	215.149	29.550
55.293	52.234	40.198	32.055	67.192	44.725	76.224	215.149	29.550
55.702	52.640	40.404	32.055	67.192	44.725	76.224	215.352	29.550
56.085	53.100	40.404	32.055	67.192	44.725	76.224	215.352	29.550
56.508	53.605	40.404	32.055	67.192	44.725	76.460	215.352	29.550
56.949	54.159	40.404	32.055	67.192	44.725	76.460	215.352	29.550
57.335	54.778	40.404	32.055	67.192	44.725	76.685	215.569	29.550
57.666	55.432	40.643	32.055	67.192	44.725	76.685	215.569	29.550
58.005	56.137	41.038	32.055	67.192	44.725	76.904	215.569	29.550
58.542	57.088	41.600	32.055	67.192	44.725	76.904	215.796	29.550
58.844	57.804	42.179	32.055	67.192	44.725	77.163	215.796	29.550
59.070	58.505	42.907	32.055	67.192	44.725	77.163	216.047	29.550
