P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
38.116	54.359	72.042	59.167	64.355	235.075	37.001
38.116	54.359	72.267	59.167	64.355	235.373	37.001
38.116	54.359	72.267	59.393	64.355	235.373	37.001
38.325	54.359	72.267	59.393	64.355	235.626	37.001
38.325	54.359	72.487	59.393	64.575	235.626	37.001
38.325	54.359	72.487	59.608	64.575	235.859	37.001
38.554	54.359	72.487	59.608	64.575	235.859	37.001
38.554	54.359	72.487	59.878	64.575	236.108	37.001
38.856	54.677	72.709	59.878	64.575	236.108	37.001
39.141	54.677	72.709	60.256	64.575	236.392	37.001
39.468	55.010	72.709	60.256	64.575	236.392	37.001
39.805	55.217	72.709	60.646	64.575	236.668	37.001
40.192	55.438	72.709	60.895	64.575	236.668	37.001
40.686	55.770	72.709	61.150	64.783	237.015	37.001
41.277	56.178	72.946	61.382	64.783	237.015	37.001
41.943	56.615	72.946	61.596	64.783	237.363	37.208
42.733	57.092	72.946	61.880	65.065	237.363	37.208
43.641	57.530	73.229	62.174	65.065	237.706	37.208
44.562	57.971	73.229	62.541	65.065	237.706	37.458
45.715	58.694	73.505	62.857	65.269	237.999	37.458
46.986	59.398	73.505	63.136	65.269	237.999	37.823
48.144	60.184	73.796	63.355	65.269	238.329	38.082
49.460	60.873	73.796	63.355	65.269	238.329	38.444
50.596	61.596	74.133	63.790	65.269	238.329	38.840
51.664	62.276	74.133	63.790	65.269	238.568	39.200
52.744	62.904	74.469	64.201	65.269	238.568	39.592
53.692	63.508	74.469	64.201	65.482	238.568	39.947
54.626	64.078	74.778	64.526	65.482	238.568	40.283
55.666	64.806	74.778	64.526	65.482	238.834	40.558
57.071	65.599	75.049	64.817	65.482	238.834	40.858
58.149	66.588	75.049	64.817	65.740	239.062	41.120
59.291	67.557	75.342	65.122	65.740	239.062	41.395
60.460	68.568	75.342	65.122	66.016	239.349	41.769
61.735	69.770	75.612	65.447	66.016	239.349	42.079
63.069	71.052	75.612	65.667	66.360	239.649	42.390
64.377	72.495	75.830	65.933	66.360	239.649	42.749
65.696	74.005	75.830	66.185	66.625	239.946	43.072
67.048	75.570	76.069	66.442	66.625	239.946	43.391
68.356	77.211	76.069	66.690	66.625	240.277	43.763
69.708	78.665	76.364	66.933	66.844	240.277	44.033
70.921	80.182	76.364	66.933	66.844	240.649	44.316
72.086	81.664	76.671	67.234	66.844	240.881	44.527
73.170	83.157	76.671	67.234	66.844	240.881	44.527
74.156	84.694	76.971	67.440	66.844	241.278	44.809
75.105	86.184	76.971	67.440	66.844	241.488	44.809
76.016	87.723	77.228	67.440	66.844	241.689	44.809
76.958	89.312	77.228	67.440	66.844	241.903	45.061
78.025	91.078	77.485	67.672	66.844	242.110	45.061
79.337	92.562	77.485	67.672	66.844	242.329	45.441
80.842	93.390	77.485	67.953	67.111	242.552	45.735
82.632	93.697	77.696	68.216	67.111	242.770	46.044
