P2_elbow_rP2whole_dist_traveled	P2_hand_rP2whole_dist_traveled	P2_shoulder_lP2whole_dist_traveled	P2_elbow_lP2whole_dist_traveled	P2_headP2whole_dist_traveled	P2_shoulder_rP2whole_dist_traveled	P2_hand_lP2whole_dist_traveled
41.233	87.518	85.795	19.940	134.294	99.114	107.288
41.233	87.518	85.997	19.940	134.693	99.114	107.288
41.233	87.720	85.997	19.940	135.097	99.320	107.288
41.455	87.720	85.997	19.940	135.461	99.320	107.288
41.455	87.720	85.997	19.940	135.839	99.320	107.288
41.455	87.720	86.251	19.940	136.235	99.606	107.288
41.989	87.720	86.251	19.940	136.538	99.606	107.288
41.989	87.720	86.251	20.142	136.839	99.810	107.288
42.247	87.720	86.562	20.142	137.144	99.810	107.288
42.247	87.720	86.562	20.142	137.444	100.029	107.288
42.520	87.947	86.765	20.142	137.781	100.029	107.288
42.520	87.947	86.765	20.372	138.163	100.302	107.288
42.520	87.947	86.765	20.372	138.649	100.302	107.288
42.781	88.226	87.040	20.372	139.225	100.675	107.521
42.781	88.466	87.040	20.372	139.841	100.675	107.521
42.781	88.806	87.253	20.372	140.457	101.005	107.892
42.781	89.205	87.253	20.372	141.193	101.005	108.249
42.781	89.703	87.486	20.372	142.078	101.318	108.806
42.781	90.326	87.486	20.576	143.063	101.546	109.635
42.996	91.149	87.757	20.576	144.018	101.546	110.709
42.996	92.252	87.961	20.576	145.010	101.897	112.226
42.996	93.604	87.961	20.576	146.082	101.897	114.234
43.285	95.098	88.272	20.576	147.230	102.262	116.381
43.285	96.830	88.272	20.884	148.297	102.262	118.660
43.285	98.727	88.539	20.884	149.366	102.614	121.150
43.285	100.554	88.539	21.098	150.507	102.614	123.323
43.285	102.424	88.806	21.098	151.511	102.959	125.420
43.285	103.840	88.806	21.098	152.507	102.959	127.201
43.285	105.334	89.035	21.338	153.447	103.252	128.772
43.519	106.455	89.035	21.338	154.258	103.487	130.164
43.519	107.230	89.035	21.338	155.070	103.487	130.972
43.519	107.811	89.349	21.542	155.730	103.803	131.493
43.519	108.159	89.349	21.542	156.329	103.803	131.807
43.519	108.376	89.349	21.542	156.819	104.032	132.143
43.760	108.376	89.618	21.542	157.198	104.032	132.576
43.760	108.676	89.618	21.542	157.575	104.252	133.119
43.760	108.929	89.618	21.542	157.893	104.252	133.623
43.760	109.281	89.892	21.747	158.126	104.252	134.129
43.760	109.699	89.892	21.747	158.126	104.482	134.609
43.760	110.207	90.100	21.747	158.438	104.482	135.148
43.760	110.733	90.100	21.747	158.438	104.482	135.573
43.760	111.374	90.100	21.747	158.438	104.482	135.985
43.760	112.144	90.322	21.747	158.697	104.482	136.657
43.998	113.132	90.322	21.747	158.697	104.697	137.252
43.998	114.260	90.322	21.747	158.952	104.697	137.896
43.998	115.754	90.560	21.747	158.952	104.950	138.662
43.998	117.466	90.560	21.972	159.319	104.950	139.607
43.998	119.378	90.560	21.972	159.319	105.232	140.813
43.998	121.270	90.848	21.972	159.738	105.232	142.272
43.998	123.278	90.848	21.972	159.979	105.622	143.706
43.998	124.607	90.848	21.972	160.226	105.831	145.439
43.998	125.126	91.114	21.972	160.501	105.831	147.164
43.998	125.584	91.114	21.972	160.800	106.195	148.861
43.998	125.997	91.114	22.208	161.122	106.434	150.387
43.998	126.435	91.361	22.208	161.497	106.646	151.391
44.215	126.710	91.361	22.208	161.983	106.892	151.783
44.215	126.968	91.361	22.416	162.407	107.104	152.043
44.215	127.270	91.685	22.416	162.816	107.104	152.475
44.439	127.545	91.685	22.416	163.259	107.540	153.057
44.439	127.545	91.985	22.416	163.690	107.766	153.598
44.439	127.545	91.985	22.416	164.094	108.092	154.161
44.748	127.881	92.390	22.416	164.515	108.353	154.686
44.748	128.200	92.592	22.642	164.918	108.602	155.277
45.085	128.665	92.796	22.642	165.276	108.846	155.832
45.085	129.259	92.796	22.642	165.592	108.846	156.385
45.354	129.823	93.113	22.642	165.873	109.228	156.896
45.354	130.537	93.113	22.642	166.157	109.228	157.485
45.639	131.237	93.421	22.642	166.395	109.535	158.175
45.639	131.891	93.421	22.863	166.627	109.535	158.781
46.004	132.563	93.824	22.863	166.831	109.829	159.435
46.004	133.220	93.824	22.863	166.831	109.829	160.020
46.207	133.836	94.189	23.102	167.203	110.030	160.557
46.207	134.286	94.189	23.102	167.203	110.030	160.977
46.589	134.681	94.471	23.102	167.467	110.030	161.237
46.589	134.975	94.471	23.102	167.467	110.030	161.237
46.589	134.975	94.712	23.102	167.467	110.258	161.237
46.951	135.246	94.712	23.102	167.701	110.258	161.514
47.266	135.246	94.950	23.102	167.701	110.258	161.940
47.266	135.682	94.950	23.102	167.701	110.258	162.539
47.633	136.160	95.191	23.102	167.932	110.258	163.254
47.633	136.688	95.191	23.102	167.932	110.258	164.070
47.633	137.372	95.480	23.102	167.932	110.258	164.960
47.845	138.022	95.480	23.329	168.218	110.258	165.877
47.845	138.022	95.859	23.329	168.218	110.258	166.666
48.102	138.348	95.859	23.329	168.538	110.478	167.433
48.102	138.590	96.245	23.329	168.538	110.478	167.924
48.420	138.901	96.464	23.329	168.865	110.478	168.169
48.420	139.179	96.688	23.329	168.865	110.767	168.375
48.633	139.179	96.688	23.329	169.231	110.767	168.600
48.633	139.179	97.100	23.329	169.439	110.985	168.816
48.870	139.179	97.304	23.329	169.439	110.985	168.816
48.870	139.179	97.515	23.329	169.882	111.200	169.071
49.097	139.179	97.515	23.329	169.882	111.200	169.071
49.097	139.414	97.863	23.329	170.267	111.200	169.071
49.320	139.414	97.863	23.329	170.529	111.510	169.631
49.320	139.616	98.223	23.329	170.763	111.510	169.631
49.320	139.616	98.223	23.329	170.979	111.711	169.631
49.320	139.979	98.568	23.574	171.209	111.711	169.850
49.320	139.979	98.568	23.574	171.447	111.711	169.850
49.320	140.376	98.852	23.574	171.712	111.924	170.292
49.320	140.627	98.852	23.574	171.986	111.924	170.644
49.320	140.891	99.184	23.574	172.243	111.924	171.101
49.757	141.260	99.184	23.574	172.559	112.253	171.622
50.098	141.736	99.532	23.574	172.822	112.253	172.543
50.098	142.305	99.532	23.574	173.080	112.586	173.081
50.098	143.009	99.892	23.792	173.375	112.586	173.527
50.098	143.746	100.127	23.792	173.684	112.939	173.949
50.098	144.560	100.658	23.792	173.941	112.939	174.379
50.098	145.230	100.658	23.792	174.201	113.260	174.690
50.307	145.816	101.019	23.792	174.506	113.260	174.910
50.307	146.311	101.019	23.792	174.829	113.612	174.910
50.307	146.692	101.340	23.792	175.245	113.612	174.910
50.307	146.907	101.340	23.999	175.643	113.883	174.910
50.527	146.907	101.609	23.999	176.012	113.883	175.334
50.527	146.907	102.222	23.999	176.375	113.883	175.690
50.527	147.168	102.222	23.999	176.738	114.109	176.128
50.734	147.498	102.888	23.999	177.112	114.109	176.572
50.734	147.941	102.888	23.999	177.521	114.323	177.044
50.994	148.472	103.556	23.999	178.033	114.323	177.508
50.994	148.970	103.556	23.999	178.518	114.555	177.883
51.259	149.536	103.817	23.999	179.008	114.555	177.883
51.259	150.153	103.817	24.204	179.501	114.855	177.883
51.536	150.870	104.154	24.204	180.007	114.855	177.883
51.536	151.499	104.154	24.204	180.534	115.127	177.883
51.849	151.891	104.154	24.204	181.074	115.127	178.096
51.849	152.108	104.399	24.204	181.687	115.381	178.096
52.176	152.372	104.399	24.204	182.390	115.381	178.096
52.176	152.606	104.399	24.204	182.957	115.616	178.096
52.424	152.817	104.399	24.204	183.512	115.616	178.096
52.424	152.817	104.399	24.204	184.078	115.616	178.096
52.424	152.817	104.399	24.204	184.624	115.616	178.096
52.659	153.031	104.612	24.204	185.155	115.616	178.096
52.659	153.031	104.612	24.204	185.707	115.616	178.096
52.659	153.031	104.612	24.204	186.155	115.616	178.096
52.659	153.031	104.612	24.204	186.636	115.830	178.312
52.659	153.031	104.916	24.204	187.084	115.830	178.312
52.659	153.031	104.916	24.204	187.452	115.830	178.312
52.659	153.031	105.162	24.204	187.812	116.064	178.312
52.874	153.031	105.162	24.204	188.162	116.064	178.312
52.874	153.031	105.447	24.204	188.429	116.064	178.312
52.874	153.031	105.447	24.204	188.704	116.064	178.312
52.874	153.031	105.817	24.204	188.928	116.064	178.312
53.095	153.031	106.029	24.204	189.137	116.064	178.312
53.095	153.031	106.232	24.204	189.338	116.064	178.312
53.095	153.031	106.454	24.409	189.547	116.064	178.582
53.095	153.031	106.678	24.409	189.547	116.279	178.582
53.095	153.031	107.070	24.409	189.948	116.279	178.796
53.095	153.239	107.290	24.409	190.160	116.279	178.796
53.095	153.239	107.290	24.643	190.160	116.279	179.027
53.095	153.239	107.677	24.643	190.530	116.524	179.027
53.095	153.239	107.677	24.643	190.884	116.524	179.240
53.095	153.239	107.993	24.643	191.427	116.524	179.240
53.359	153.455	108.724	24.643	191.718	116.802	179.240
53.359	153.455	108.724	24.857	192.016	116.802	179.240
53.359	153.455	108.724	24.857	192.316	116.802	179.240
53.359	153.455	108.966	24.857	192.645	117.033	179.240
53.359	153.455	108.966	24.857	192.941	117.033	179.456
53.572	153.455	108.966	24.857	193.231	117.033	179.456
53.882	153.455	108.966	24.857	193.546	117.285	179.456
53.882	153.455	109.210	24.857	194.198	117.285	179.456
53.882	153.455	109.210	24.857	194.482	117.285	179.719
53.882	153.455	109.210	24.857	194.761	117.533	179.719
53.882	153.455	109.210	24.857	195.078	117.533	180.120
