RHand	Head	LHand
15.734	23.547	8.787
13.848	27.926	11.693
10.047	28.785	12.543
6.473	21.995	8.786
7.629	19.159	6.829
10.218	37.333	5.475
16.736	33.495	2.150
21.444	14.803	4.618
20.526	14.262	8.062
15.112	9.089	7.525
7.972	7.930	4.762
1.911	8.192	4.129
7.404	6.707	3.524
17.139	24.889	5.437
26.620	24.854	10.213
30.711	5.114	14.740
30.171	1.908	13.265
26.402	2.968	16.314
23.440	15.639	20.163
21.101	15.882	21.939
16.704	5.602	25.089
12.340	6.429	25.273
12.391	9.046	24.051
14.709	7.890	24.319
14.836	6.279	20.316
18.200	7.138	16.519
16.609	8.208	14.710
12.299	10.137	10.648
7.556	8.766	5.548
4.841	8.374	3.925
13.965	8.976	10.926
22.389	8.927	19.190
34.349	9.173	29.317
46.513	9.558	38.955
62.072	8.686	44.271
73.779	6.830	47.136
62.717	7.193	46.874
45.575	6.565	34.334
34.894	6.450	16.399
21.109	7.263	6.536
12.420	7.161	15.780
13.221	8.063	20.632
15.025	10.406	19.736
14.488	11.750	16.190
11.172	11.032	11.874
8.713	11.345	8.495
6.327	13.286	4.849
3.141	14.709	3.334
3.836	14.398	4.870
6.643	14.141	8.708
10.141	14.184	14.863
14.800	16.909	22.806
21.052	18.167	32.503
26.639	16.804	39.421
31.766	17.933	43.999
39.717	20.383	49.813
42.870	20.971	44.416
36.697	22.179	34.716
31.481	25.222	33.344
27.683	27.234	25.559
18.925	28.337	12.701
9.350	31.305	3.045
3.946	35.112	12.380
10.843	36.742	25.077
18.868	40.059	33.513
28.894	38.377	43.845
40.755	40.628	57.212
57.639	46.544	72.297
67.887	46.591	74.333
64.687	51.221	61.016
45.986	54.610	42.442
27.187	52.268	21.934
10.742	50.636	16.908
8.735	51.772	22.824
15.103	50.186	24.424
21.833	49.296	21.270
21.235	46.841	13.345
15.561	45.275	9.498
11.772	47.837	9.579
10.073	46.109	9.008
12.718	40.617	4.968
13.260	35.599	7.249
20.480	30.738	11.676
29.789	28.131	14.924
39.581	27.922	22.983
49.446	26.465	31.982
53.732	24.204	37.832
49.284	22.296	39.561
48.719	20.774	39.428
46.123	19.313	33.710
34.193	21.600	24.839
23.505	23.488	19.837
11.982	22.816	11.851
4.699	23.053	4.085
15.060	23.437	10.201
26.163	23.040	19.628
38.633	21.446	31.767
54.190	20.597	41.488
62.245	21.327	50.884
79.318	21.025	61.239
97.946	19.930	70.001
84.947	20.625	66.932
50.218	20.584	45.624
25.424	19.935	21.379
21.448	18.442	13.026
18.487	17.231	19.845
18.248	16.708	26.747
16.673	16.714	25.569
8.343	14.415	15.983
7.742	11.359	8.499
13.043	12.850	7.103
15.108	13.454	12.372
15.028	11.652	11.682
13.786	12.514	4.815
13.387	14.026	4.490
13.453	14.569	5.793
9.605	14.080	7.969
8.756	13.665	8.333
5.957	13.539	4.385
4.039	12.373	1.702
3.182	11.372	2.893
2.146	12.614	3.448
2.068	11.259	2.851
1.974	10.577	3.175
1.675	10.249	2.036
3.887	8.508	1.343
1.327	6.407	1.835
2.066	4.953	3.795
2.071	4.228	20.012
2.758	4.483	20.488
4.450	4.458	3.816
7.311	3.631	3.256
3.895	2.380	0.989
9.090	3.827	4.724
4.633	3.253	1.475
6.201	5.843	4.017
5.161	6.157	2.595
8.485	6.626	17.748
10.763	4.808	19.744
5.296	5.848	4.589
5.895	8.602	3.588
8.553	12.539	5.636
8.689	14.893	7.593
12.326	16.059	15.390
19.022	17.475	24.376
28.571	20.898	34.130
36.549	21.490	40.742
41.917	20.601	42.730
48.990	20.807	47.666
55.766	17.646	51.429
55.195	17.485	50.823
48.320	17.184	49.907
42.468	14.411	42.557
44.008	13.629	36.660
45.736	11.263	34.963
40.001	9.720	32.936
