P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z
-64.064	150.563	0.703
-64.048	150.564	0.553
-63.924	150.329	0.326
-63.764	149.987	0.055
-63.551	149.530	-0.175
-63.254	149.065	-0.435
-62.992	148.472	-0.669
-62.751	148.065	-1.007
-62.369	148.092	-1.463
-62.083	148.261	-2.117
-61.841	148.554	-2.674
-61.846	148.883	-2.999
-61.852	149.156	-3.105
-61.918	149.349	-3.033
-61.986	149.457	-2.841
-62.001	149.477	-2.622
-61.982	149.522	-2.478
-61.938	149.552	-2.470
-61.888	149.566	-2.548
-61.523	149.284	-2.760
-61.426	149.248	-2.819
-61.325	149.284	-2.830
-61.313	149.460	-2.713
-61.269	149.593	-2.647
-61.300	149.763	-2.554
-61.365	149.957	-2.433
-61.540	150.176	-2.298
-61.708	150.418	-2.185
-62.032	151.023	-1.985
-62.084	151.479	-1.910
-62.044	151.960	-2.021
-62.029	152.456	-2.233
-61.971	152.972	-2.504
-61.890	153.427	-2.716
-61.984	154.012	-2.710
-61.826	154.330	-2.951
-61.636	154.565	-3.183
-61.443	154.662	-3.315
-61.212	154.580	-3.433
-60.984	154.375	-3.597
-60.806	154.070	-3.798
-60.682	153.704	-3.938
-60.569	153.259	-4.054
-60.274	152.631	-4.336
-60.249	152.157	-4.343
-60.402	151.771	-4.131
-60.650	151.388	-3.766
-60.989	150.936	-3.256
-61.428	150.501	-2.872
-61.727	150.335	-2.492
-61.938	150.361	-2.386
-62.180	150.416	-2.510
-62.319	150.478	-2.687
-62.414	150.532	-2.869
-62.487	150.516	-2.971
-62.560	150.556	-2.976
-62.612	150.557	-2.912
-62.737	150.563	-2.845
-62.804	150.551	-2.833
-62.844	150.545	-2.836
-62.875	150.518	-2.907
-62.868	150.510	-2.957
-62.860	150.486	-2.938
-62.844	150.528	-2.907
-62.814	150.509	-2.873
-62.729	150.532	-2.889
-62.650	150.554	-2.866
-62.563	150.569	-2.901
-62.487	150.616	-2.921
-62.462	150.656	-2.942
-62.402	150.708	-2.923
-62.415	150.821	-2.878
-62.377	150.946	-2.808
-62.359	151.053	-2.749
-62.368	151.162	-2.728
-62.341	151.244	-2.712
-62.351	151.311	-2.708
-62.331	151.339	-2.675
-62.338	151.365	-2.671
-62.361	151.389	-2.635
-62.376	151.374	-2.630
-62.381	151.376	-2.597
-62.404	151.416	-2.557
-62.470	151.433	-2.537
-62.532	151.471	-2.503
-62.615	151.540	-2.454
-62.726	151.644	-2.424
-62.842	151.814	-2.305
-62.967	152.048	-2.194
-63.092	152.277	-2.108
-63.316	152.574	-1.935
-63.523	152.869	-1.813
-63.727	153.241	-1.594
-64.040	153.585	-1.420
-64.321	153.912	-1.321
-64.452	154.183	-1.282
-64.563	154.456	-1.226
-64.625	154.686	-1.237
