P5_hands_dir_Distance_X	P5_hands_dir_Distance_Y	P5_hands_dir_Distance_Z
-50.925	132.484	0.110
-50.928	132.515	0.122
-50.909	132.513	0.131
-50.932	132.481	0.105
-50.924	132.538	0.110
-50.923	132.531	0.094
-50.925	132.523	0.110
-50.926	132.520	0.078
-50.915	132.503	0.078
-50.923	132.515	0.069
-50.922	132.501	0.047
-50.922	132.504	0.078
-51.069	132.393	0.009
-50.938	132.490	0.083
-50.923	132.496	0.088
-50.932	132.505	0.098
-50.929	132.508	0.109
-50.939	132.510	0.089
-50.940	132.516	0.095
-51.078	132.372	0.004
-50.936	132.504	0.084
-50.919	132.503	0.074
-50.900	132.504	0.078
-50.920	132.521	0.094
-50.837	133.118	0.124
-50.921	132.535	0.053
-50.929	132.538	0.036
-50.938	132.517	0.055
-50.936	132.545	0.060
-50.866	133.148	0.095
-50.839	133.114	0.131
-50.944	132.495	0.096
-51.070	132.386	0.017
-50.920	132.511	0.086
-50.915	132.482	0.094
-50.931	132.501	0.084
-50.932	132.493	0.090
-50.940	132.493	0.100
-50.922	132.485	0.133
-50.953	132.473	0.138
-50.967	132.995	0.138
-50.934	132.491	0.133
-50.938	132.510	0.155
-50.918	132.514	0.114
-50.921	132.505	0.127
-51.000	132.565	-0.053
-50.925	132.522	0.095
-50.932	132.492	0.101
-50.825	133.117	0.166
-50.929	132.515	0.133
-50.921	132.499	0.130
-50.951	132.513	0.125
-50.923	132.521	0.141
-51.047	132.381	0.053
-50.922	132.511	0.150
-50.927	132.474	0.160
-50.926	132.495	0.164
-50.906	132.494	0.156
-50.810	133.079	0.218
-50.897	132.498	0.177
-50.919	132.512	0.188
-50.907	132.509	0.180
-50.927	132.519	0.170
-50.941	132.501	0.193
-50.817	133.098	0.220
-50.942	132.509	0.158
-50.968	132.995	0.127
-50.946	132.490	0.155
-50.931	132.536	0.134
-50.957	132.533	0.133
-50.926	132.550	0.132
-50.855	133.137	0.190
-50.944	132.539	0.123
-51.058	132.424	0.044
-50.826	133.113	0.186
-50.927	132.534	0.159
-50.929	132.500	0.160
-50.936	132.499	0.159
-50.936	132.521	0.158
-50.933	132.487	0.150
-50.908	132.482	0.163
-50.958	132.529	0.132
-50.943	132.507	0.130
-51.063	132.404	0.061
-50.842	133.113	0.192
-50.954	132.530	0.134
-50.949	132.514	0.149
-50.943	132.516	0.126
-50.950	132.531	0.114
-50.939	132.535	0.099
-50.862	133.133	0.123
-50.955	132.553	0.063
-50.936	132.534	0.073
-50.950	132.533	0.062
-50.960	133.010	0.061
-50.939	132.526	0.095
-50.957	132.533	0.080
-50.938	132.521	0.139
-50.936	132.502	0.113
-50.969	132.503	0.139
-50.937	132.504	0.127
-50.935	132.510	0.108
-51.061	132.359	0.037
-50.948	132.503	0.134
-50.955	132.515	0.122
-50.916	132.504	0.133
-50.935	132.509	0.112
-50.927	132.493	0.128
-50.934	132.516	0.120
-50.923	132.544	0.092
-50.951	132.553	0.096
-50.863	133.133	0.137
-50.828	133.155	0.126
-50.829	133.155	0.139
-50.843	133.136	0.144
-50.935	132.520	0.083
-50.854	133.133	0.145
-50.923	132.511	0.116
-51.081	132.413	0.040
-50.954	132.511	0.143
-50.941	132.520	0.129
-50.924	132.497	0.122
-50.923	132.492	0.157
-50.921	132.493	0.134
-50.851	133.095	0.208
-50.943	132.507	0.148
-50.915	132.497	0.155
-50.933	132.493	0.161
-50.934	132.503	0.156
-51.065	132.403	0.093
-50.936	132.510	0.171
-50.850	133.108	0.195
-50.952	132.521	0.154
-51.017	132.575	-0.036
-50.842	133.129	0.201
-50.939	132.518	0.149
-50.813	133.116	0.205
-50.923	132.540	0.153
-51.047	132.425	0.088
-50.846	133.168	0.191
-50.905	132.529	0.162
-50.831	133.121	0.229
-50.821	133.141	0.225
-50.930	132.527	0.176
-50.900	132.509	0.168
-50.940	132.521	0.179
-50.942	132.519	0.184
-51.077	132.399	0.093
-50.955	132.503	0.144
-50.854	133.110	0.213
-50.951	132.518	0.148
-50.933	132.525	0.181
-50.936	132.520	0.168
-50.921	132.542	0.180
-50.923	132.540	0.164
-50.918	132.553	0.164
-50.922	132.546	0.146
-50.916	132.536	0.168
-50.832	133.143	0.210
-50.999	132.622	-0.029
-50.916	132.531	0.134
-50.913	132.501	0.171
-51.052	132.399	0.088
-51.029	132.593	-0.028
-50.940	132.521	0.165
-50.925	132.529	0.156
-50.910	132.526	0.163
-50.916	132.514	0.171
-50.948	132.546	0.154
-50.945	132.535	0.135
-51.050	132.371	0.073
-50.948	132.506	0.128
-50.933	132.521	0.139
-50.937	132.525	0.101
-50.932	132.517	0.092
-50.934	132.552	0.103
-50.839	133.155	0.137
-50.821	133.143	0.169
-50.920	132.554	0.106
-50.825	133.149	0.163
-50.929	132.529	0.109
-51.049	132.423	0.057
-50.936	132.534	0.118
-50.926	132.539	0.123
-50.936	132.525	0.139
-50.938	132.535	0.118
-50.944	132.529	0.145
-50.905	132.498	0.141
-50.949	132.501	0.146
-51.213	132.593	-0.222
-50.946	132.504	0.136
-50.841	133.113	0.194
-50.923	132.504	0.133
-50.954	132.526	0.137
-50.941	132.533	0.147
-50.946	132.536	0.148
-50.925	132.534	0.176
-50.938	132.541	0.141
-50.939	132.533	0.154
-50.855	133.131	0.185
-50.845	133.150	0.190
-50.912	132.533	0.128
-50.846	133.127	0.179
-50.941	132.985	0.140
-50.917	132.527	0.173
-50.912	132.516	0.166
-50.906	132.502	0.182
-50.928	132.528	0.195
-50.926	132.494	0.195
-50.848	133.096	0.259
-50.923	132.493	0.206
-51.067	132.381	0.160
-50.925	132.488	0.216
-50.903	132.491	0.194
-50.909	132.506	0.211
-50.906	132.510	0.219
-50.931	132.483	0.197
-50.818	133.133	0.246
-50.910	132.506	0.201
-50.828	133.137	0.250
-50.938	132.535	0.214
-50.908	132.535	0.226
-50.914	132.536	0.225
-50.897	132.542	0.205
-50.826	133.140	0.250
-50.837	133.143	0.266
-50.925	132.550	0.231
-50.831	133.141	0.262
-51.027	132.399	0.154
-50.914	132.519	0.205
-50.904	132.483	0.182
-50.901	132.487	0.175
-50.907	132.497	0.146
-50.883	132.503	0.134
-50.985	132.576	-0.092
-50.888	132.497	0.129
-51.027	132.368	0.053
-51.002	132.604	-0.064
-50.912	132.480	0.118
-50.912	132.476	0.112
-50.895	132.473	0.095
-50.895	132.500	0.076
-50.882	132.479	0.051
-50.889	132.485	0.039
-50.910	132.990	0.044
-50.878	132.484	0.052
-50.843	132.505	0.088
-50.856	132.479	0.089
-50.761	133.046	0.117
-50.868	132.459	0.089
-50.771	133.048	0.139
-50.866	132.429	0.140
-50.871	132.419	0.099
-50.856	132.410	0.147
-50.869	132.418	0.141
-51.140	132.472	-0.185
-50.854	132.400	0.183
-50.866	132.411	0.193
-50.764	133.020	0.226
-50.850	132.443	0.190
-50.856	132.436	0.183
-50.764	133.044	0.231
-50.915	132.937	0.134
-50.786	133.028	0.231
-50.878	133.124	0.050
-50.802	133.016	0.248
-50.795	133.016	0.268
-50.796	133.026	0.257
-50.889	133.117	0.073
-51.040	133.058	-0.095
-50.842	133.082	0.111
-50.769	132.996	0.309
-50.932	132.495	0.051
-50.902	132.470	0.102
-50.743	132.979	0.342
-50.834	133.068	0.137
-50.809	132.366	0.332
-50.840	132.841	0.284
-50.828	133.040	0.154
-50.811	132.356	0.318
-50.816	133.034	0.176
-50.890	132.420	0.112
-50.774	132.275	0.381
-50.872	132.356	0.201
-50.782	132.949	0.259
-50.793	132.953	0.259
-50.763	132.940	0.257
-50.759	132.922	0.247
-50.860	132.318	0.207
-50.939	133.492	-0.487
-50.792	132.290	0.216
-50.785	132.218	0.164
-50.765	132.170	0.124
-50.722	132.799	0.263
-50.732	132.695	0.223
-50.823	132.045	0.191
-50.855	131.961	0.161
-50.801	132.483	-0.038
-51.037	133.528	-1.023
-50.843	132.355	-0.050
-50.866	132.285	-0.021
-50.880	132.297	-0.012
-50.902	132.257	0.046
-50.901	132.217	0.052
-50.926	132.180	0.015
-50.826	132.455	-0.370
-50.834	132.399	-0.399
-50.854	132.346	-0.406
-51.232	133.191	-1.154
-50.924	132.238	-0.380
-50.879	132.179	-0.297
-50.896	132.139	-0.256
-50.949	132.167	-0.265
-50.958	132.208	-0.204
-50.993	132.267	-0.156
-51.322	133.209	-0.830
-51.013	132.250	-0.046
