RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z
0.934	2.707	1.027	3.666	2.185	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	2.185	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	2.185	0.430	1.051	14.607	0.849
0.934	2.707	1.027	3.666	2.390	0.430	1.051	14.607	0.849
0.934	2.707	1.027	3.666	2.390	0.430	1.051	14.607	0.849
0.934	2.707	1.027	3.666	2.390	0.430	1.051	15.219	0.849
0.934	2.707	1.027	3.666	2.390	0.430	1.051	15.219	0.849
0.934	2.707	1.027	3.666	2.390	0.430	1.051	15.856	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	16.499	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	17.119	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.666	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.874	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.874	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	3.874	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.082	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.082	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.082	2.598	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.332	2.817	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.332	2.817	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.332	2.817	0.430	1.051	17.740	0.849
0.934	2.707	1.027	4.599	2.817	0.664	1.051	17.740	0.849
0.934	2.707	1.027	4.599	3.047	0.664	1.051	17.740	0.849
0.934	2.707	1.027	4.807	3.047	0.664	1.051	18.335	0.849
0.934	2.707	1.027	4.807	3.047	0.664	1.051	18.942	0.849
0.934	2.707	1.027	4.807	3.047	0.664	1.051	19.564	0.849
0.934	2.707	1.027	5.076	3.047	0.664	1.051	19.564	0.849
0.934	2.707	1.027	5.076	3.285	0.893	1.051	19.564	0.849
0.934	2.707	1.027	5.076	3.285	0.893	1.051	20.176	0.849
0.934	2.707	1.027	5.380	3.285	0.893	1.051	20.176	0.849
0.934	2.707	1.027	5.380	3.285	0.893	1.051	20.802	0.849
0.934	2.707	1.027	5.632	3.531	0.893	1.051	21.433	0.849
0.934	2.707	1.027	5.632	3.531	0.893	1.051	22.038	0.849
0.934	2.707	1.027	5.888	3.531	1.102	1.051	22.671	0.849
0.934	2.707	1.027	5.888	3.531	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.151	3.531	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.151	3.531	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.404	3.780	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.404	3.780	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.651	3.780	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.651	3.780	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.869	3.982	1.102	1.051	22.671	0.849
0.934	2.707	1.027	6.869	3.982	1.102	1.051	23.291	0.849
0.934	2.707	1.027	7.073	3.982	1.325	1.051	23.291	0.849
0.934	2.707	1.027	7.073	3.982	1.325	1.051	23.291	0.849
0.934	2.707	1.027	7.073	3.982	1.325	1.051	23.291	0.849
0.934	2.707	1.027	7.347	4.191	1.325	1.051	23.291	0.849
0.934	2.707	1.027	7.347	4.191	1.325	1.051	23.291	0.849
0.934	2.707	1.027	7.347	4.191	1.325	1.051	23.888	0.849
0.934	2.707	1.027	7.629	4.191	1.325	1.051	24.505	0.849
0.934	2.707	1.027	7.629	4.191	1.325	1.051	24.505	0.849
0.934	2.707	1.027	7.629	4.191	1.570	1.051	25.123	0.849
0.934	2.707	1.027	7.936	4.191	1.570	1.051	25.731	0.849
0.934	2.707	1.027	7.936	4.399	1.570	1.051	26.350	0.849
0.934	2.707	1.027	8.157	4.399	1.570	1.051	26.350	0.849
0.934	2.707	1.027	8.157	4.399	1.570	1.051	26.350	0.849
0.934	2.707	1.027	8.397	4.399	1.830	1.051	26.350	0.849
0.934	2.707	1.027	8.397	4.399	1.830	1.051	26.350	0.849
0.934	2.707	1.027	8.637	4.399	1.830	1.051	26.967	0.849
0.934	2.707	1.027	8.637	4.399	1.830	1.051	27.593	0.849
0.934	2.707	1.027	8.873	4.399	2.044	1.051	27.593	0.849
0.934	2.707	1.027	8.873	4.399	2.044	1.051	27.593	0.849
0.934	2.707	1.027	9.154	4.399	2.044	1.051	27.593	0.849
0.934	2.707	1.027	9.154	4.399	2.044	1.051	27.593	0.849
0.934	2.707	1.027	9.395	4.399	2.289	1.051	27.593	0.849
0.934	2.707	1.027	9.395	4.399	2.289	1.051	27.593	0.849
0.934	2.707	1.027	9.635	4.399	2.289	1.051	28.238	0.849
0.934	2.707	1.027	9.635	4.399	2.289	1.051	28.238	0.849
0.934	2.707	1.027	9.863	4.399	2.289	1.051	28.238	0.849
0.934	2.707	1.027	9.863	4.399	2.524	1.051	28.238	0.849
0.934	2.707	1.027	9.863	4.604	2.724	1.051	28.238	0.849
0.934	2.707	1.027	10.110	4.604	2.724	1.051	28.238	0.849
0.934	2.707	1.027	10.110	4.604	2.724	1.051	28.238	0.849
0.934	2.707	1.027	10.369	4.604	2.943	1.051	28.860	0.849
0.934	2.707	1.027	10.369	4.604	2.943	1.051	28.860	0.849
0.934	2.707	1.027	10.617	4.604	2.943	1.051	28.860	0.849
0.934	2.707	1.027	10.617	4.604	3.235	1.051	28.860	0.849
0.934	2.707	1.027	10.839	4.604	3.235	1.051	28.860	0.849
0.934	2.707	1.027	10.839	4.604	3.235	1.051	28.860	0.849
0.934	2.707	1.027	10.839	4.604	3.459	1.051	28.860	0.849
0.934	2.707	1.027	11.092	4.604	3.459	1.051	28.860	0.849
0.934	2.707	1.027	11.092	4.604	3.459	1.051	28.860	0.849
0.934	2.707	1.027	11.092	4.604	3.459	1.051	28.860	0.849
0.934	2.707	1.027	11.319	4.604	3.664	1.051	28.860	0.849
0.934	2.707	1.027	11.319	4.604	3.664	1.051	28.860	0.849
0.934	2.707	1.027	11.319	4.604	3.664	1.051	28.860	0.849
0.934	2.707	1.027	11.550	4.604	3.887	1.051	28.860	0.849
0.934	2.707	1.027	11.550	4.604	3.887	1.051	29.484	0.849
0.934	2.707	1.027	11.550	4.604	3.887	1.051	29.484	0.849
0.934	2.707	1.027	11.550	4.604	3.887	1.051	29.484	0.849
0.934	2.707	1.027	11.805	4.604	4.099	1.051	29.484	0.849
