P5_hand_rP4_whole_dist_traveled	P5_shoulder_rP4_whole_dist_traveled	P5_headP4_whole_dist_traveled	P5_hand_lP4_whole_dist_traveled	P5_shoulder_lP4_whole_dist_traveled	P5_elbow_rP4_whole_dist_traveled	P5_elbow_lP4_whole_dist_traveled
3.489	4.408	17.057	35.089	0.209	3.059	3.165
3.489	4.408	17.057	35.736	0.209	3.059	3.165
3.489	4.408	17.286	35.736	0.000	3.059	3.165
3.489	4.408	17.286	35.736	0.000	3.059	3.165
3.489	4.408	17.286	35.736	0.000	3.059	3.165
3.489	4.408	17.286	36.342	0.000	3.059	3.165
3.489	4.408	17.286	36.968	0.000	3.059	3.165
3.489	4.408	17.286	36.968	0.000	3.059	3.165
3.489	4.408	17.286	36.968	0.000	3.059	3.165
3.489	4.408	17.286	37.598	0.000	3.059	3.165
3.489	4.610	17.286	37.598	0.000	3.059	3.165
3.489	4.610	17.494	37.598	0.000	3.059	3.165
3.489	4.610	17.494	37.598	0.000	3.059	3.165
3.489	4.610	17.494	37.598	0.000	3.059	3.165
3.489	4.610	17.494	37.598	0.000	3.059	3.165
3.489	4.610	17.494	37.598	0.000	3.059	3.165
3.489	4.610	17.729	37.598	0.000	3.059	3.165
3.489	4.610	17.729	38.199	0.000	3.059	3.165
3.489	4.610	17.729	38.825	0.000	3.059	3.165
3.489	4.610	17.729	38.825	0.000	3.059	3.165
3.489	4.610	17.939	38.825	0.000	3.059	3.165
3.489	4.610	17.939	38.825	0.000	3.059	3.165
3.489	4.610	17.939	38.825	0.000	3.059	3.165
3.489	4.610	18.146	38.825	0.000	3.059	3.165
3.489	4.817	18.146	39.457	0.000	3.059	3.165
3.489	4.817	18.347	39.457	0.223	3.059	3.165
3.489	4.817	18.347	40.060	0.223	3.059	3.165
3.489	4.817	18.585	40.683	0.223	3.059	3.165
3.489	4.817	18.585	41.311	0.223	3.059	3.165
3.489	5.043	18.880	41.311	0.223	3.059	3.165
3.489	5.043	18.880	41.311	0.223	3.059	3.165
3.489	5.043	19.189	41.311	0.223	3.059	3.165
3.489	5.043	19.189	41.918	0.223	3.059	3.165
3.489	5.043	19.426	42.544	0.223	3.059	3.165
3.489	5.043	19.426	42.544	0.223	3.059	3.165
3.489	5.043	19.426	42.544	0.223	3.059	3.165
3.489	5.043	19.719	42.544	0.431	3.059	3.165
3.489	5.043	19.719	42.544	0.431	3.059	3.165
3.489	5.043	19.938	42.544	0.431	3.059	3.165
3.489	5.043	19.938	42.544	0.431	3.059	3.165
3.489	5.043	19.938	43.164	0.431	3.059	3.165
3.489	5.043	20.187	43.164	0.431	3.059	3.165
3.489	5.043	20.187	43.164	0.431	3.059	3.165
3.489	5.043	20.187	43.164	0.431	3.059	3.165
3.489	5.043	20.404	43.774	0.431	3.059	3.165
3.489	5.249	20.404	43.774	0.431	3.059	3.165
3.489	5.249	20.404	43.774	0.431	3.059	3.165
3.489	5.249	20.608	43.774	0.431	3.059	3.165
3.489	5.249	20.608	43.774	0.431	3.059	3.165
3.489	5.249	20.608	43.774	0.431	3.059	3.165
3.489	5.249	20.608	43.774	0.431	3.059	3.165
3.489	5.249	20.608	44.398	0.431	3.059	3.165
3.489	5.249	20.813	45.034	0.431	3.059	3.165
3.489	5.249	20.813	45.034	0.431	3.059	3.165
3.692	5.249	20.813	45.034	0.431	3.059	3.165
3.692	5.249	20.813	45.034	0.431	3.059	3.165
3.917	5.249	20.813	45.034	0.663	3.059	3.165
3.917	5.249	20.813	45.034	0.663	3.059	3.165
3.917	5.249	20.813	45.034	0.663	3.059	3.165
